hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 7290.83, -34.9297, 7282.09, -154.88, 7291.69, 85.1582, 168.89, -28.1351, 155.987, -144.578, 163.714, 93.1616
2, 0.00000, 7291.17, -34.9221, 7282.43, -154.873, 7292.12, 85.1677, 159.656, -25.9348, 148.92, -142.525, 154.607, 95.5316
3, 0.00000, 7291.39, -34.917, 7282.66, -154.867, 7292.33, 85.1726, 162.279, -26.5595, 152.081, -143.458, 157.829, 94.6822
4, 0.00000, 7291.47, -34.9152, 7282.79, -154.864, 7292.4, 85.1744, 164.904, -27.1931, 153.519, -143.871, 160.899, 93.8765
5, 0.00000, 7291.52, -34.9141, 7282.8, -154.864, 7292.45, 85.1754, 161.781, -26.4118, 153.046, -143.736, 158.817, 94.4361
6, 0.00000, 7291.61, -34.9118, 7282.83, -154.863, 7292.48, 85.1765, 165.644, -27.346, 156.587, -144.74, 164.223, 93.0627
7, 0.00000, 7291.46, -34.9152, 7282.73, -154.865, 7292.38, 85.174, 166.891, -27.6482, 155.42, -144.407, 164.108, 93.0829
8, 0.00000, 7291.25, -34.92, 7282.6, -154.868, 7292.22, 85.1705, 174.304, -29.3264, 157.936, -145.098, 165.947, 92.6216
9, 0.00000, 7290.86, -34.9287, 7282.28, -154.876, 7291.86, 85.1622, 174.078, -29.3052, 157.618, -145.041, 166.304, 92.5093
10, 0.00000, 7290.67, -34.9332, 7281.86, -154.885, 7291.47, 85.1533, 172.144, -28.9257, 155.344, -144.447, 165.023, 92.7797
11, 0.00000, 7290.27, -34.9423, 7281.57, -154.892, 7291.12, 85.1452, 173.896, -29.3016, 155.853, -144.596, 168.658, 91.9174
12, 0.00000, 7289.96, -34.9492, 7281.16, -154.902, 7290.75, 85.1369, 180.039, -30.5497, 159.092, -145.463, 170.093, 91.6013
13, 0.00000, 7289.66, -34.9564, 7280.93, -154.907, 7290.44, 85.1295, 172.038, -28.9706, 150.905, -143.196, 162.767, 93.2656
14, 0.00000, 7289.39, -34.963, 7280.6, -154.915, 7290.07, 85.1207, 165.465, -27.5258, 145.536, -141.535, 157.755, 94.5147
15, 0.00000, 7289.37, -34.9634, 7280.62, -154.915, 7290.06, 85.1205, 162.477, -26.8238, 140.268, -139.697, 154.646, 95.3437
16, 0.00000, 7289.26, -34.9659, 7280.58, -154.915, 7290.01, 85.1194, 163.785, -27.1133, 144.988, -141.352, 158.16, 94.4076
