hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 7363.01, -33.7763, 7359.95, -153.682, 7371.72, 86.2951, 168.467, -27.134, 155.623, -143.512, 163.33, 94.1608
2, 0.00000, 7387.44, -33.456, 7378.6, -153.344, 7395.41, 86.665, 159.153, -24.6297, 148.462, -141.126, 154.152, 96.8732
3, 0.00000, 7399.9, -33.2432, 7392.13, -153.13, 7408.53, 86.8709, 161.715, -25.0788, 151.565, -141.884, 157.314, 96.1928
4, 0.00000, 7403.25, -33.1534, 7398.6, -153.023, 7415.21, 86.9482, 164.292, -25.6448, 152.974, -142.216, 160.351, 95.4415
5, 0.00000, 7406.94, -33.1176, 7400.29, -153.001, 7416.45, 86.9904, 161.168, -24.8208, 152.485, -142.055, 158.251, 96.0462
6, 0.00000, 7411.53, -33.0441, 7404.59, -152.964, 7416.98, 87.0468, 165.021, -25.7161, 156.007, -143.04, 163.621, 94.6973
7, 0.00000, 7403.41, -33.1684, 7396.88, -153.06, 7412.03, 86.9342, 166.277, -26.1261, 154.856, -142.79, 163.535, 94.6187
8, 0.00000, 7391.39, -33.3416, 7386.04, -153.191, 7405.1, 86.7752, 173.72, -27.9699, 157.417, -143.615, 165.434, 94.0114
9, 0.00000, 7367.97, -33.6895, 7364.86, -153.511, 7385.77, 86.427, 173.58, -28.2331, 157.197, -143.842, 165.891, 93.6001
10, 0.00000, 7352.51, -33.9455, 7349, -153.895, 7356.25, 86.1058, 171.789, -28.0842, 155.036, -143.561, 164.679, 93.6138
11, 0.00000, 7327.23, -34.2983, 7327.3, -154.197, 7338.13, 85.7553, 173.635, -28.7447, 155.649, -143.985, 168.431, 92.4478
12, 0.00000, 7307.43, -34.6243, 7305.13, -154.578, 7311.32, 85.4169, 179.914, -30.2735, 158.997, -145.179, 169.97, 91.851
13, 0.00000, 7285.74, -34.9108, 7288.53, -154.838, 7294.81, 85.1085, 171.99, -28.9235, 150.896, -143.146, 162.734, 93.2581
14, 0.00000, 7263.99, -35.214, 7269.91, -155.186, 7269.75, 84.7596, 165.53, -27.741, 145.626, -141.796, 157.817, 94.2119
15, 0.00000, 7262.52, -35.2201, 7270.43, -155.178, 7270.76, 84.7472, 162.549, -27.0434, 140.365, -139.957, 154.721, 95.0282
16, 0.00000, 7256.49, -35.3081, 7264.21, -155.223, 7269.2, 84.6832, 163.866, -27.4006, 145.103, -141.656, 158.26, 94.0367
17, 0.00000, 7258.92, -35.3012, 7264.32, -155.235, 7268.53, 84.6965, 158.184, -25.9988, 137.827, -139.064, 151.41, 95.9307
18, 0.00000, 7263.04, -35.2756, 7265.36, -155.241, 7267.8, 84.7268, 151.227, -24.0298, 133.477, -137.31, 146.967, 97.317
19, 0.00000, 7268.5, -35.2258, 7266.04, -155.256, 7264.16, 84.7761, 165.313, -27.6256, 149.886, -143.171, 164, 92.701
20, 0.00000, 7283, -34.9998, 7281.17, -155.012, 7280.78, 85.0069, 167.94, -28.0426, 151.069, -143.317, 167.015, 92.1767
21, 0.00000, 7279.06, -35.0835, 7275.22, -155.036, 7282.27, 84.9689, 161.431, -26.5886, 146.135, -141.824, 158.633, 94.1871
22, 0.00000, 7299.96, -34.8164, 7291.28, -154.783, 7299.39, 85.2625, 161.332, -26.3538, 145.252, -141.307, 156.865, 94.8973
23, 0.00000, 7331.72, -34.3463, 7322.26, -154.285, 7333.83, 85.7528, 152.17, -23.5144, 136.967, -137.901, 149.008, 97.5401
24, 0.00000, 7355.1, -33.9604, 7348.35, -153.885, 7360.01, 86.1269, 148.745, -22.1623, 134.112, -136.38, 144.052, 99.4766
25, 0.00000, 7377.35, -33.657, 7366.85, -153.531, 7386.01, 86.483, 139.195, -18.6786, 126.162, -132.403, 133.495, 103.779
26, 0.00000, 7390.35, -33.4198, 7383.51, -153.328, 7397.05, 86.6766, 134.777, -16.7278, 124.744, -131.483, 131.08, 105.017
27, 0.00000, 7403.17, -33.232, 7393.64, -153.091, 7413.99, 86.9089, 140.292, -18.6866, 130.212, -133.988, 135.942, 103.174
28, 0.00000, 7412.9, -33.0928, 7402.5, -152.986, 7419.61, 87.036, 135.41, -16.6823, 126.236, -131.945, 131.196, 105.309
29, 0.00000, 7416.33, -33.0373, 7405.79, -152.936, 7422.3, 87.0892, 135.923, -16.8212, 127.986, -132.787, 133.659, 104.276
30, 0.00000, 7421.84, -32.9613, 7410.31, -152.903, 7422.75, 87.1496, 135.302, -16.5064, 128.769, -133.146, 133.895, 104.22
31, 0.00000, 7407.9, -33.1417, 7399.45, -153.055, 7413.29, 86.9628, 145.692, -20.4639, 135.585, -136.271, 141.641, 101.072
32, 0.00000, 7388.66, -33.3399, 7390.42, -153.211, 7403.39, 86.7162, 149.709, -21.9633, 136.556, -136.83, 143.829, 100.059
33, 0.00000, 7363.43, -33.7409, 7364.55, -153.669, 7371.74, 86.2899, 157.263, -24.4511, 142.14, -139.321, 153.171, 96.7508
34, 0.00000, 7342.74, -34.0606, 7343.83, -153.996, 7350.19, 85.9664, 162.195, -25.9989, 145.309, -140.699, 157.396, 95.2987
35, 0.00000, 7316.85, -34.4659, 7317.57, -154.434, 7320.64, 85.5466, 161.786, -26.2146, 144.94, -140.934, 157.861, 94.8383
36, 0.00000, 7294.23, -34.8502, 7290.78, -154.796, 7298.45, 85.2035, 163.07, -26.8517, 145.246, -141.348, 158.032, 94.5063
37, 0.00000, 7272.09, -35.1963, 7267.66, -155.161, 7273.83, 84.8544, 161.858, -26.8564, 141.581, -140.392, 154.783, 95.0913
38, 0.00000, 7249.74, -35.5042, 7247.35, -155.487, 7250.46, 84.5224, 166.783, -28.2609, 147.12, -142.539, 161.765, 92.9972
39, 0.00000, 7227.64, -35.7766, 7230.8, -155.721, 7235.04, 84.2313, 168.456, -28.8686, 145.673, -142.27, 161.538, 92.8119
40, 0.00000, 7216.54, -35.9357, 7220.5, -155.985, 7213.16, 84.0105, 165.794, -28.4097, 141.962, -141.221, 156.382, 93.9696
41, 0.00000, 7204.51, -36.0876, 7211.72, -156.099, 7206.73, 83.8557, 155.165, -25.8514, 134.769, -138.617, 149.535, 95.7805
42, 0.00000, 7208.86, -36.0207, 7216.15, -156.066, 7207.52, 83.9039, 158.999, -26.812, 137.296, -139.572, 151.437, 95.2678
43, 0.00000, 7224.75, -35.8817, 7221.92, -155.93, 7218.34, 84.1134, 162.093, -27.4585, 141.643, -141.055, 155.923, 94.1839
44, 0.00000, 7241.36, -35.6919, 7233.39, -155.759, 7230.52, 84.3296, 156.904, -25.979, 137.94, -139.545, 150.979, 95.7566
45, 0.00000, 7244.04, -35.6638, 7234.46, -155.693, 7236.42, 84.389, 160.743, -26.9336, 141.306, -140.727, 155.28, 94.5872
46, 0.00000, 7263.93, -35.3546, 7256.89, -155.333, 7262.89, 84.7069, 148.979, -23.433, 132.615, -137.041, 144.872, 97.9694
47, 0.00000, 7295.88, -34.8764, 7288.69, -154.844, 7296.01, 85.1919, 150.038, -23.359, 133.577, -137.004, 142.714, 99.1302
48, 0.00000, 7319.17, -34.5004, 7314.64, -154.482, 7319.04, 85.5417, 145.75, -21.708, 130.566, -135.374, 139.92, 100.412
49, 0.00000, 7342.84, -34.145, 7338.16, -154.098, 7345.74, 85.9131, 137.594, -18.5208, 124.55, -132.082, 131.96, 103.922
50, 0.00000, 7363.88, -33.8387, 7357.44, -153.79, 7366.15, 86.2326, 133.913, -16.7703, 122.138, -130.467, 128.906, 105.597
51, 0.00000, 7376.03, -33.626, 7371.92, -153.555, 7381.8, 86.4407, 131.454, -15.5394, 120.416, -129.252, 126.34, 107.035
52, 0.00000, 7387.55, -33.5012, 7378, -153.432, 7390.52, 86.602, 128.924, -14.2554, 119.22, -128.407, 124.81, 107.97
53, 0.00000, 7390.66, -33.4096, 7385.6, -153.316, 7398.37, 86.6752, 124.943, -12.1934, 116.508, -126.535, 122.19, 109.473
54, 0.00000, 7395.21, -33.3342, 7390.42, -153.269, 7400.05, 86.734, 127.052, -13.2138, 117.543, -127.169, 123.023, 109.054
55, 0.00000, 7389.12, -33.3871, 7388.06, -153.297, 7398.35, 86.6682, 128.838, -14.0982, 120.818, -129.276, 127.434, 106.701
56, 0.00000, 7371.83, -33.6523, 7370.8, -153.542, 7383.22, 86.4135, 137.831, -18.2027, 124.199, -131.396, 130.859, 104.856
57, 0.00000, 7344.85, -34.0427, 7346.27, -153.923, 7358.39, 86.0113, 143.909, -20.7455, 127.82, -133.623, 138.489, 101.312
58, 0.00000, 7318.49, -34.4444, 7320, -154.369, 7327.33, 85.5857, 151.189, -23.4005, 131.909, -135.909, 144.379, 98.8414
59, 0.00000, 7288.14, -34.8537, 7294.34, -154.789, 7297.95, 85.1374, 159.081, -25.9025, 139.47, -139.331, 150.112, 96.6701
60, 0.00000, 7263.03, -35.2365, 7268.61, -155.174, 7272.35, 84.7579, 159.285, -26.2611, 139.663, -139.737, 152.413, 95.6695
61, 0.00000, 7244.06, -35.5224, 7248.8, -155.482, 7250.64, 84.4662, 165.507, -28.0159, 143.869, -141.48, 156.118, 94.4045
62, 0.00000, 7217.88, -35.8792, 7225.86, -155.869, 7222.68, 84.0699, 163.614, -27.8683, 139.625, -140.31, 155.237, 94.3078
