hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 1148.3, -99.9093, 1126.79, -49.5732, 1094.31, -92.9903
2, 0.00000, 1020.79, -157.011, 999.835, -111.395, 971.136, -152.072
3, 0.00000, 884.246, -217.015, 864.62, -177.306, 840.323, -213.97
4, 0.00000, 813.833, -247.773, 794.329, -210.919, 772.422, -246.093
5, 0.00000, 768.182, -267.653, 749.083, -232.655, 728.566, -266.576
6, 0.00000, 734.951, -281.944, 715.663, -248.375, 696.469, -281.765
7, 0.00000, 716.066, -289.901, 696.017, -257.605, 678.302, -291.034
8, 0.00000, 753.193, -273.224, 730.684, -239.56, 713.038, -275.795
9, 0.00000, 901.836, -208.334, 874.653, -168.141, 853.769, -211.612
10, 0.00000, 1079.02, -130.095, 1048.54, -82.3412, 1022.84, -132.322
11, 0.00000, 1232.23, -61.4552, 1200.16, -7.39596, 1169.87, -61.7788
12, 0.00000, 1426.41, 26.4553, 1391.78, 89.0489, 1355.47, 28.3787
13, 0.00000, 1671.38, 139.268, 1633.53, 212.974, 1589.34, 144.266
14, 0.00000, 1747.33, 174.488, 1709.14, 251.986, 1661.86, 181.192
15, 0.00000, 1806.74, 202.116, 1769.14, 282.641, 1718.95, 210.946
16, 0.00000, 1948.91, 269.59, 1908.58, 358.069, 1852.96, 280.264
17, 0.00000, 1880.77, 236.95, 1843.31, 322.074, 1789.09, 248.332
18, 0.00000, 1653.68, 130.194, 1622.02, 204.262, 1574.32, 140.744
19, 0.00000, 1501.88, 60.0468, 1473.27, 127.112, 1430.04, 69.541
20, 0.00000, 1413.69, 19.6809, 1387.28, 82.6386, 1346.45, 28.9351
21, 0.00000, 1341.44, -13.148, 1317.05, 46.3996, 1278.12, -3.93005
22, 0.00000, 1289.85, -36.5842, 1266.62, 20.7555, 1228.99, -27.5147
23, 0.00000, 1212.67, -70.9402, 1190.91, -17.6813, 1156.05, -62.7168
24, 0.00000, 1066.34, -136.175, 1046.62, -89.4277, 1016.33, -129.56
25, 0.00000, 913.594, -203.718, 895.931, -163.388, 870.107, -198.638
26, 0.00000, 789.162, -258.08, 772.737, -222.966, 750.77, -254.61
27, 0.00000, 708.351, -293.147, 692.939, -261.352, 673.314, -290.5
28, 0.00000, 662.761, -312.881, 647.64, -282.874, 629.404, -310.897
29, 0.00000, 654.406, -317.037, 637.962, -286.407, 619.856, -315.893
30, 0.00000, 654.358, -316.828, 637.992, -286.324, 619.955, -315.679
31, 0.00000, 732.661, -282.02, 715.587, -248.296, 695.139, -279.838
32, 0.00000, 808.186, -249.562, 789.235, -213.263, 767.526, -247.684
33, 0.00000, 786.403, -258.926, 765.861, -224.051, 746.182, -259.16
34, 0.00000, 857.548, -226.657, 834.757, -189.057, 813.876, -227.445
35, 0.00000, 919.567, -199.945, 895.378, -160.027, 873.217, -200.75
36, 0.00000, 1051.63, -141.496, 1025.19, -96.2834, 999.624, -141.515
37, 0.00000, 1266.24, -45.681, 1237.31, 8.86652, 1205, -43.0047
38, 0.00000, 1445.99, 35.7803, 1415.02, 98.3583, 1376.86, 40.8989
39, 0.00000, 1573.64, 94.2919, 1541.52, 162.704, 1498.93, 101.478
40, 0.00000, 1673.14, 140.623, 1640.2, 213.2, 1594.46, 149.302
41, 0.00000, 1768.05, 184.601, 1734.62, 262.036, 1684.95, 195.437
42, 0.00000, 1786.18, 192.752, 1753.65, 271.64, 1702.26, 205.129
43, 0.00000, 1852.41, 223.674, 1819.46, 305.906, 1765.41, 237.46
44, 0.00000, 1814.06, 205.496, 1782.86, 286.113, 1729.3, 219.944
45, 0.00000, 1686.1, 145.69, 1656.92, 220.318, 1607.48, 158.704
46, 0.00000, 1612.2, 111.328, 1584.02, 182.615, 1536.94, 123.45
47, 0.00000, 1467.49, 44.9104, 1442.19, 109.194, 1399.65, 55.8452
48, 0.00000, 1293.74, -34.2449, 1271.25, 22.3597, 1233.89, -24.8965
49, 0.00000, 1066.82, -136.082, 1047.4, -89.1683, 1016.81, -129.121
50, 0.00000, 929.983, -196.496, 912.135, -155.51, 885.841, -191.238
51, 0.00000, 810.136, -248.833, 793.211, -212.994, 770.875, -245.425
52, 0.00000, 719.695, -288.169, 703.484, -255.961, 683.907, -286.004
53, 0.00000, 666.87, -311.066, 651.232, -280.943, 633.158, -309.472
54, 0.00000, 673.656, -308.006, 658.033, -277.521, 639.64, -306.215
55, 0.00000, 728.951, -283.575, 711.809, -250.555, 692.003, -281.809
56, 0.00000, 814.463, -246.481, 795.468, -210.487, 774.045, -244.794
57, 0.00000, 778.827, -262.124, 759.049, -228.059, 739.681, -262.106
58, 0.00000, 795.183, -254.182, 773.978, -219.711, 754.983, -255.195
59, 0.00000, 885.997, -214.488, 863.392, -176.348, 841.957, -214.83
