hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 77092, -5.65378, 77074.4, -125.647, 77098.8, 114.359, 0, 0, 62.4088, -95.6594, 62.4231, 144.347, 62.4033, 24.3532, 0.0293026, -25.919
2, 0.00000, 77064.1, -5.6123, 77048.3, -125.606, 77070.9, 114.399, 0, 0, 65.6657, -95.6174, 65.6791, 144.389, 65.6599, 24.3942, 0.0283191, -24.2965
3, 0.00000, 77050.9, -5.57175, 77037.4, -125.566, 77057.5, 114.438, 0, 0, 67.9948, -95.5766, 68.0067, 144.429, 67.9889, 24.4336, 0.0259111, -22.5955
4, 0.00000, 77043.1, -5.55071, 77030.7, -125.545, 77049.8, 114.459, 0, 0, 69.2629, -95.5555, 69.274, 144.45, 69.2568, 24.454, 0.0248708, -21.0196
5, 0.00000, 77037.5, -5.53705, 77025.9, -125.532, 77044.2, 114.472, 0, 0, 70.1013, -95.542, 70.1119, 144.463, 70.0952, 24.4671, 0.024111, -20.3302
6, 0.00000, 77030, -5.52647, 77019, -125.521, 77036.9, 114.482, 0, 0, 70.8576, -95.5311, 70.8677, 144.474, 70.8513, 24.4776, 0.0236489, -19.0343
7, 0.00000, 77025.6, -5.52052, 77015.2, -125.515, 77032.9, 114.488, 0, 0, 71.3028, -95.5256, 71.3125, 144.48, 71.2962, 24.4829, 0.0233623, -17.3241
8, 0.00000, 77006.2, -5.5273, 76995.7, -125.521, 77014.5, 114.482, 0, 0, 71.8129, -95.5309, 71.8227, 144.475, 71.8053, 24.4781, 0.0249477, -14.9557
9, 0.00000, 76974.7, -5.56275, 76962.3, -125.555, 76984.7, 114.448, 0, 0, 71.9132, -95.5656, 71.9248, 144.442, 71.904, 24.4452, 0.0299334, -14.6655
10, 0.00000, 76956.7, -5.60743, 76941.6, -125.599, 76967.7, 114.405, 0, 0, 71.4202, -95.6103, 71.4342, 144.398, 71.41, 24.4024, 0.0347813, -16.3235
11, 0.00000, 76941, -5.64632, 76923.6, -125.637, 76952.4, 114.368, 0, 0, 70.8115, -95.6487, 70.8275, 144.36, 70.801, 24.3656, 0.0382402, -18.2257
12, 0.00000, 76937.5, -5.69802, 76916.9, -125.688, 76949.5, 114.318, 0, 0, 69.4758, -95.7009, 69.4944, 144.309, 69.465, 24.3154, 0.0427469, -20.1436
13, 0.00000, 76931.6, -5.76353, 76906.8, -125.753, 76944.4, 114.255, 0, 0, 67.5875, -95.7664, 67.6093, 144.244, 67.5763, 24.2525, 0.0481598, -22.0756
14, 0.00000, 76927.2, -5.78355, 76900.9, -125.772, 76939.8, 114.236, 0, 0, 66.962, -95.7858, 66.9847, 144.225, 66.951, 24.2341, 0.0496502, -22.973
15, 0.00000, 76928.7, -5.80016, 76901.1, -125.789, 76940.9, 114.22, 0, 0, 66.3158, -95.8025, 66.3396, 144.209, 66.3053, 24.218, 0.0506078, -24.2316
16, 0.00000, 76927.3, -5.83893, 76896.8, -125.827, 76940.2, 114.184, 0, 0, 65.0267, -95.8417, 65.0526, 144.17, 65.0159, 24.1807, 0.0542973, -24.9195
17, 0.00000, 76956.6, -5.82453, 76926.9, -125.813, 76968.6, 114.197, 0, 0, 64.6048, -95.8287, 64.6298, 144.182, 64.5946, 24.1928, 0.0519036, -25.7164
18, 0.00000, 76993.8, -5.76848, 76967.9, -125.759, 77003.9, 114.25, 0, 0, 64.9935, -95.7729, 65.0154, 144.236, 64.9849, 24.2456, 0.0450952, -26.1688
19, 0.00000, 77009.2, -5.73015, 76985.6, -125.722, 77018.2, 114.287, 0, 0, 65.5852, -95.735, 65.6053, 144.273, 65.5774, 24.2818, 0.0412092, -26.1614
20, 0.00000, 77008.8, -5.70662, 76986.6, -125.699, 77017.1, 114.309, 0, 0, 66.2255, -95.7112, 66.2446, 144.297, 66.2183, 24.3045, 0.0389377, -26.4495
21, 0.00000, 77013.2, -5.68785, 76992.1, -125.681, 77020.8, 114.327, 0, 0, 66.6911, -95.6929, 66.7095, 144.314, 66.6844, 24.3219, 0.0370513, -26.9516
22, 0.00000, 77012.1, -5.67368, 76991.7, -125.667, 77019.3, 114.341, 0, 0, 67.1685, -95.6785, 67.1864, 144.329, 67.1622, 24.3357, 0.0358429, -27.1287
23, 0.00000, 77017.1, -5.65344, 76998.2, -125.647, 77023.9, 114.36, 0, 0, 67.6836, -95.6585, 67.7004, 144.348, 67.6776, 24.3547, 0.0336506, -26.9909
24, 0.00000, 77019.8, -5.61395, 77003.2, -125.608, 77026, 114.398, 0, 0, 68.823, -95.6185, 68.8378, 144.387, 68.8174, 24.3932, 0.0300902, -26.1565
25, 0.00000, 77023.2, -5.57294, 77009, -125.568, 77028.9, 114.437, 0, 0, 70.0452, -95.5775, 70.0581, 144.428, 70.04, 24.4326, 0.0265876, -25.2943
26, 0.00000, 77021.4, -5.53879, 77009.2, -125.534, 77026.8, 114.47, 0, 0, 71.2417, -95.5432, 71.253, 144.462, 71.2367, 24.4657, 0.0238138, -23.8098
27, 0.00000, 77019.6, -5.51643, 77008.7, -125.512, 77024.8, 114.492, 0, 0, 72.0969, -95.5209, 72.1071, 144.484, 72.092, 24.4872, 0.0219864, -23.0079
28, 0.00000, 77016.8, -5.50355, 77006.6, -125.499, 77022, 114.504, 0, 0, 72.6689, -95.5081, 72.6786, 144.496, 72.664, 24.4995, 0.0210971, -22.1898
29, 0.00000, 77010.8, -5.5003, 77000.6, -125.496, 77016.5, 114.508, 0, 0, 73.0018, -95.5047, 73.0115, 144.5, 72.9965, 24.5031, 0.0217201, -20.5831
30, 0.00000, 77004.3, -5.49916, 76994.1, -125.494, 77010, 114.509, 0, 0, 73.2834, -95.503, 73.2931, 144.502, 73.278, 24.5048, 0.0218545, -20.5753
31, 0.00000, 76980.4, -5.51634, 76969, -125.511, 76986.1, 114.492, 0, 0, 73.4551, -95.5163, 73.4656, 144.489, 73.4496, 24.4922, 0.0234619, -21.1652
