hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 1148.28, -99.8923, 1126.76, -49.5565, 1094.29, -92.9737
2, 0.00000, 1020.79, -156.99, 999.828, -111.374, 971.13, -152.051
3, 0.00000, 884.247, -216.994, 864.62, -177.285, 840.324, -213.95
4, 0.00000, 813.832, -247.753, 794.328, -210.899, 772.421, -246.074
5, 0.00000, 768.181, -267.636, 749.082, -232.638, 728.565, -266.559
6, 0.00000, 734.952, -281.927, 715.664, -248.359, 696.471, -281.749
7, 0.00000, 716.071, -289.887, 696.021, -257.591, 678.307, -291.02
8, 0.00000, 753.2, -273.208, 730.69, -239.545, 713.045, -275.78
9, 0.00000, 901.845, -208.319, 874.661, -168.127, 853.778, -211.598
10, 0.00000, 1079.02, -130.076, 1048.54, -82.323, 1022.84, -132.305
11, 0.00000, 1232.24, -61.4336, 1200.17, -7.37504, 1169.88, -61.7586
12, 0.00000, 1426.41, 26.4813, 1391.77, 89.0737, 1355.47, 28.4029
13, 0.00000, 1671.34, 139.244, 1633.49, 212.952, 1589.29, 144.241
14, 0.00000, 1747.31, 174.485, 1709.11, 251.984, 1661.83, 181.188
15, 0.00000, 1806.71, 202.125, 1769.12, 282.65, 1718.93, 210.953
16, 0.00000, 1948.89, 269.611, 1908.55, 358.085, 1852.94, 280.28
17, 0.00000, 1880.74, 236.971, 1843.28, 322.092, 1789.07, 248.349
18, 0.00000, 1653.67, 130.216, 1622.01, 204.285, 1574.32, 140.765
19, 0.00000, 1501.88, 60.0722, 1473.26, 127.137, 1430.03, 69.5648
20, 0.00000, 1413.68, 19.7065, 1387.28, 82.6639, 1346.45, 28.9592
21, 0.00000, 1341.44, -13.1233, 1317.04, 46.4239, 1278.12, -3.90666
22, 0.00000, 1289.85, -36.5598, 1266.61, 20.7795, 1228.99, -27.4917
23, 0.00000, 1212.67, -70.9167, 1190.9, -17.6582, 1156.05, -62.6945
24, 0.00000, 1066.35, -136.153, 1046.63, -89.4054, 1016.33, -129.539
25, 0.00000, 913.6, -203.698, 895.936, -163.368, 870.112, -198.619
