hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 20869, -33.16, 20852.7, -153.24, 20868.3, 86.8098, 214.881, -25.7573, 224.437, -147.39, 218.863, 94.1545
2, 0.00000, 20878.3, -33.0721, 20863.9, -153.138, 20878.8, 86.9061, 208.452, -24.9584, 216.17, -146.465, 211.426, 95.0657
3, 0.00000, 20888.8, -32.9669, 20876, -153.02, 20890.8, 87.0218, 202.017, -24.0933, 208.133, -145.484, 203.723, 96.0917
4, 0.00000, 20891.2, -32.9434, 20876.9, -153.009, 20891.6, 87.0336, 200.606, -23.8939, 208.241, -145.487, 203.72, 96.1011
5, 0.00000, 20884.1, -33.0094, 20870.1, -153.071, 20885.9, 86.9794, 205.927, -24.6043, 213.166, -146.088, 207.631, 95.5784
6, 0.00000, 20874, -33.1102, 20859.2, -153.18, 20873, 86.8563, 211.78, -25.3724, 219.994, -146.894, 216.154, 94.4902
7, 0.00000, 20865.2, -33.1888, 20850.4, -153.258, 20864.6, 86.7801, 218.524, -26.1741, 226.774, -147.626, 222.613, 93.7372
8, 0.00000, 20846.4, -33.3812, 20831.2, -153.452, 20845.8, 86.5888, 228.26, -27.3288, 236.814, -148.716, 232.213, 92.6142
9, 0.00000, 20825.9, -33.5609, 20814, -153.607, 20825.5, 86.4072, 243.437, -28.8586, 249.023, -149.855, 247.587, 91.0962
10, 0.00000, 20803.1, -33.7978, 20779.6, -153.929, 20796.4, 86.1323, 254.288, -29.934, 270.426, -151.7, 263.218, 89.6157
11, 0.00000, 20787.4, -33.9676, 20766.1, -154.08, 20783.9, 85.9857, 259.16, -30.4646, 273.04, -152.018, 265.221, 89.3347
12, 0.00000, 20787.3, -33.9705, 20766.7, -154.078, 20783.1, 85.9773, 258.788, -30.4419, 272.056, -151.95, 265.511, 89.3058
13, 0.00000, 20788.1, -33.9627, 20767.3, -154.072, 20783.5, 85.9816, 258.293, -30.3977, 271.803, -151.927, 265.46, 89.313
14, 0.00000, 20798.8, -33.8536, 20779.1, -153.954, 20796.7, 86.1094, 253.855, -29.9592, 266.25, -151.448, 258.712, 89.9318
15, 0.00000, 20809, -33.7598, 20788, -153.868, 20809.1, 86.222, 247.87, -29.3968, 261.188, -151.022, 250.44, 90.6819
16, 0.00000, 20810.4, -33.7429, 20791.1, -153.843, 20807, 86.2084, 246.922, -29.309, 259.149, -150.843, 253.199, 90.4477
