Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 7866.93, -4.20422, 7866.93, -124.204, 7866.93, 115.796, 2133.05, -8.34981, 2133.05, -128.35, 2133.05, 111.65
180, 3.00000, 2.94998E-009, 155.883, 1.61015E-008, 49.0403, 1.55059E-008, -120.468, 3.56387E-009, -112.902, 1.94522E-008, 140.255, 1.87327E-008, -29.2538
300, 5.00000, 0.000494388, 158.713, 0.000494126, -81.281, 0.000494212, 38.6898, 0.000358413, -110.558, 0.000358224, 9.44779, 0.000358286, 129.419
420, 7.00000, 0.000650125, -46.2958, 0.000650299, -166.26, 0.00065056, 73.7086, 0.000336668, 44.2248, 0.000336758, -75.7399, 0.000336893, 164.229
540, 9.00000, 1.03356E-008, -85.5963, 1.26987E-008, 173.287, 1.47468E-008, 36.7364, 4.16297E-009, 4.80858, 5.11478E-009, -96.3085, 5.93972E-009, 127.141
660, 11.00000, 122.97, 3.59637, 122.97, 123.596, 122.97, -116.404, 40.5249, 93.9276, 40.5249, -146.072, 40.5249, -26.0724
780, 13.00000, 56.5964, 18.7541, 56.5964, -101.246, 56.5964, 138.754, 15.782, 109.034, 15.782, -10.9656, 15.782, -130.966
900, 15.00000, 3.15279E-009, 72.6683, 8.49754E-009, 167.114, 8.83148E-009, -33.7361, 7.61942E-010, 162.911, 2.05362E-009, -102.643, 2.13432E-009, 56.5069
60, 1.00000, 7895.69, -3.16258, 7895.69, -123.163, 7895.69, 116.837, 1605.34, -7.347, 1605.34, -127.347, 1605.34, 112.653
180, 3.00000, 1.31299E-008, 158.15, 2.22131E-008, 49.5237, 2.18978E-008, -95.8519, 1.58622E-008, -110.636, 2.68356E-008, 140.738, 2.64547E-008, -4.63743
300, 5.00000, 386.484, 5.8488, 386.484, 125.849, 386.484, -114.151, 280.187, 96.5776, 280.187, -143.422, 280.187, -23.4224
420, 7.00000, 323.324, 167.212, 323.324, 47.2118, 323.324, -72.7883, 167.434, -102.268, 167.434, 137.732, 167.434, 17.7323
540, 9.00000, 5.01007E-009, -54.336, 2.26976E-008, -174.539, 2.06366E-008, 17.5729, 2.01796E-009, 36.0689, 9.14213E-009, -84.134, 8.31199E-009, 107.978
660, 11.00000, 67.448, 7.20169, 67.448, 127.202, 67.448, -112.798, 22.2275, 97.533, 22.2275, -142.467, 22.2275, -22.467
780, 13.00000, 31.3291, 22.1119, 31.3291, -97.8881, 31.3291, 142.112, 8.73618, 112.392, 8.73618, -7.6078, 8.73618, -127.608
900, 15.00000, 2.25314E-009, -62.5079, 1.45126E-008, 165.098, 1.30996E-008, -7.60384, 5.44521E-010, 27.7351, 3.50729E-009, -104.659, 3.1658E-009, 82.6391
60, 1.00000, 7946.41, -1.05988, 7946.41, -121.06, 7946.41, 118.94, 538.344, -5.32187, 538.344, -125.322, 538.344, 114.678
180, 3.00000, 1.35715E-008, 163.73, 2.29603E-008, 55.1046, 2.26344E-008, -90.2711, 1.63958E-008, -105.055, 2.77383E-008, 146.319, 2.73446E-008, 0.943453
300, 5.00000, 416.891, 13.8562, 416.891, 133.856, 416.891, -106.144, 302.231, 104.585, 302.231, -135.415, 302.231, -15.4151
420, 7.00000, 364.995, 176.499, 364.995, 56.499, 364.995, -63.501, 189.013, -92.9805, 189.013, 147.02, 189.013, 27.0195
540, 9.00000, 5.89183E-009, -44.6066, 2.66923E-008, -164.809, 2.42686E-008, 27.3023, 2.37311E-009, 45.7983, 1.07511E-008, -74.4046, 9.77489E-009, 117.707
660, 11.00000, 82.0485, 16.8661, 82.0485, 136.866, 82.0485, -103.134, 27.0391, 107.197, 27.0391, -132.803, 27.0391, -12.8027
780, 13.00000, 39.1528, 31.4427, 39.1528, -88.5573, 39.1528, 151.443, 10.9178, 121.723, 10.9178, 1.72297, 10.9178, -118.277
900, 15.00000, 2.87616E-009, -53.6332, 1.85255E-008, 173.973, 1.67218E-008, 1.27082, 6.95087E-010, 36.6097, 4.47709E-009, -95.7841, 4.04118E-009, 91.5138
