Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 7866.93, -4.20422, 7866.93, -124.204, 7866.93, 115.796, 2133.05, -8.34981, 2133.05, -128.35, 2133.05, 111.65
180, 3.00000, 2.94992E-009, 155.883, 1.61015E-008, 49.0404, 1.55059E-008, -120.468, 3.5638E-009, -112.902, 1.94522E-008, 140.255, 1.87327E-008, -29.254
300, 5.00000, 0.000494388, 158.713, 0.000494126, -81.281, 0.000494212, 38.6898, 0.000358413, -110.558, 0.000358224, 9.44779, 0.000358286, 129.419
420, 7.00000, 0.000650125, -46.2958, 0.000650299, -166.26, 0.00065056, 73.7086, 0.000336668, 44.2248, 0.000336758, -75.7399, 0.000336893, 164.229
540, 9.00000, 1.03356E-008, -85.5964, 1.26987E-008, 173.287, 1.47468E-008, 36.7363, 4.16297E-009, 4.80846, 5.11479E-009, -96.3084, 5.93973E-009, 127.141
660, 11.00000, 122.97, 3.59637, 122.97, 123.596, 122.97, -116.404, 40.5249, 93.9276, 40.5249, -146.072, 40.5249, -26.0724
780, 13.00000, 56.5964, 18.7541, 56.5964, -101.246, 56.5964, 138.754, 15.782, 109.034, 15.782, -10.9656, 15.782, -130.966
900, 15.00000, 3.15279E-009, 72.6686, 8.49754E-009, 167.114, 8.8315E-009, -33.7361, 7.61941E-010, 162.912, 2.05362E-009, -102.643, 2.13433E-009, 56.5068
60, 1.00000, 7935.18, -1.74262, 7935.18, -121.743, 7935.18, 118.257, 883.053, -5.01369, 883.053, -125.014, 883.053, 114.986
180, 3.00000, 7.20595E-009, -170.529, 2.5813E-008, 61.8138, 2.21576E-008, -103.266, 8.7055E-009, -79.3147, 3.11846E-008, 153.028, 2.67686E-008, -12.052
300, 5.00000, 73.688, 90.6284, 73.688, -149.372, 73.688, -29.3716, 53.4211, -178.643, 53.4211, -58.6428, 53.4211, 61.3572
420, 7.00000, 88.2722, -111.204, 88.2722, 128.796, 88.2722, 8.79564, 45.7119, -20.6838, 45.7119, -140.684, 45.7119, 99.3162
540, 9.00000, 1.39151E-008, -59.2547, 2.80289E-008, -156.343, 2.97151E-008, 51.3478, 5.60472E-009, 31.1502, 1.12895E-008, -65.9384, 1.19687E-008, 141.753
660, 11.00000, 169.31, 20.7052, 169.31, 140.705, 169.31, -99.2948, 55.796, 111.036, 55.796, -128.964, 55.796, -8.96355
780, 13.00000, 81.7429, 35.6889, 81.7429, -84.3111, 81.7429, 155.689, 22.7941, 125.969, 22.7941, 5.96918, 22.7941, -114.031
900, 15.00000, 5.0463E-009, 41.7208, 2.30279E-008, -171.312, 1.89975E-008, 0.362133, 1.21955E-009, 131.964, 5.56519E-009, -81.0692, 4.59116E-009, 90.6051
