,Voltage (pu),3ph Active Power (kW),3ph Reactive Power (kvar)
0.0,0.9999999999769713,-0.0,-0.0
0.001,0.9999999999769713,-0.0,-0.0
0.002,0.9999999999769713,-0.0,-0.0
0.003,0.9999999999769713,-0.0,-0.0
0.004,0.9999999999769713,-0.0,-0.0
0.005,0.9999999999769713,-0.0,-0.0
0.006,0.9999999999769713,-0.0,-0.0
0.007,0.9999999999769713,-0.0,-0.0
0.008,0.9999999999769713,-0.0,-0.0
0.009,0.9999999999769713,-0.0,-0.0
0.01,0.9999999999769713,-0.0,-0.0
0.011,0.9999999999769713,-0.0,-0.0
0.012,0.9999999999769713,-0.0,-0.0
0.013,0.9999999999769713,-0.0,-0.0
0.014,0.9999999999769713,-0.0,-0.0
0.015,0.9999999999769713,-0.0,-0.0
0.016,0.9999999999769713,-0.0,-0.0
0.017,0.9999999999769713,-0.0,-0.0
0.018,0.9999999999769713,-0.0,-0.0
0.019,0.9999999999769713,-0.0,-0.0
0.02,0.9999999999769713,-0.0,-0.0
0.021,0.9999999999769713,-0.0,-0.0
0.022,0.9999999999769713,-0.0,-0.0
0.023,0.9999999999769713,-0.0,-0.0
0.024,0.9999999999769713,-0.0,-0.0
0.025,0.9999999999769713,-0.0,-0.0
0.026,0.9999999999769713,-0.0,-0.0
0.027,0.9999999999769713,-0.0,-0.0
0.028,0.9999999999769713,-0.0,-0.0
0.029,0.9999999999769713,-0.0,-0.0
0.03,0.9999999999769713,-0.0,-0.0
0.031,0.9999999999769713,-0.0,-0.0
0.032,0.9999999999769713,-0.0,-0.0
0.033,0.9999999999769713,-0.0,-0.0
0.034,0.9999999999769713,-0.0,-0.0
0.035,0.9999999999769713,-0.0,-0.0
0.036,0.9999999999769713,-0.0,-0.0
0.037,0.9999999999769713,-0.0,-0.0
0.038,0.9999999999769713,-0.0,-0.0
0.039,0.9999999999769713,-0.0,-0.0
0.04,0.9999999999769713,-0.0,-0.0
0.041,0.9999999999769713,-0.0,-0.0
0.042,0.9999999999769713,-0.0,-0.0
0.043,0.9999999999769713,-0.0,-0.0
0.044,0.9999999999769713,-0.0,-0.0
0.045,0.9999999999769713,-0.0,-0.0
0.046,0.9999999999769713,-0.0,-0.0
0.047,0.9999999999769713,-0.0,-0.0
0.048,0.9999999999769713,-0.0,-0.0
0.049,0.9999999999769713,-0.0,-0.0
0.05,0.9999999999769713,-0.0,-0.0
0.051,0.9999999999769713,-0.0,-0.0
0.052,0.9999999999769713,-0.0,-0.0
0.053,0.9999999999769713,-0.0,-0.0
0.054,0.9999999999769713,-0.0,-0.0
0.055,0.9999999999769713,-0.0,-0.0
0.056,0.9999999999769713,-0.0,-0.0
0.057,0.9999999999769713,-0.0,-0.0
0.058,0.9999999999769713,-0.0,-0.0
0.059,0.9999999999769713,-0.0,-0.0
0.06,0.9999999999769713,-0.0,-0.0
0.061,0.9999999999769713,-0.0,-0.0
0.062,0.9999999999769713,-0.0,-0.0
0.063,0.9999999999769713,-0.0,-0.0
0.064,0.9999999999769713,-0.0,-0.0
0.065,0.9999999999769713,-0.0,-0.0
0.066,0.9999999999769713,-0.0,-0.0
0.067,0.9999999999769713,-0.0,-0.0
0.068,0.9999999999769713,-0.0,-0.0
0.069,0.9999999999769713,-0.0,-0.0
0.07,0.9999999999769713,-0.0,-0.0
0.071,0.9999999999769713,-0.0,-0.0
0.072,0.9999999999769713,-0.0,-0.0
0.073,0.9999999999769713,-0.0,-0.0
0.074,0.9999999999769713,-0.0,-0.0
0.075,0.9999999999769713,-0.0,-0.0
0.076,0.9999999999769713,-0.0,-0.0
0.077,0.9999999999769713,-0.0,-0.0
0.078,0.9999999999769713,-0.0,-0.0
0.079,0.9999999999769713,-0.0,-0.0
0.08,0.9999999999769713,-0.0,-0.0
0.081,0.9999999999769713,-0.0,-0.0
0.082,0.9999999999769713,-0.0,-0.0
0.083,0.9999999999769713,-0.0,-0.0
0.084,0.9999999999769713,-0.0,-0.0
0.085,0.9999999999769713,-0.0,-0.0
0.086,0.9999999999769713,-0.0,-0.0
0.087,0.9999999999769713,-0.0,-0.0
0.088,0.9999999999769713,-0.0,-0.0
0.089,0.9999999999769713,-0.0,-0.0
0.09,0.9999999999769713,-0.0,-0.0
0.091,0.9999999999769713,-0.0,-0.0
0.092,0.9999999999769713,-0.0,-0.0
0.093,0.9999999999769713,-0.0,-0.0
0.094,0.9999999999769713,-0.0,-0.0
0.095,0.9999999999769713,-0.0,-0.0
0.096,0.9999999999769713,-0.0,-0.0
0.097,0.9999999999769713,-0.0,-0.0
0.098,0.9999999999769713,-0.0,-0.0
0.099,0.9999999999769713,-0.0,-0.0
0.1,0.9999999999769713,-0.0,-0.0
0.101,0.9999999999769713,-0.0,-0.0
0.102,0.9999999999769713,-0.0,-0.0
0.103,0.9999999999769713,-0.0,-0.0
0.104,0.9999999999769713,-0.0,-0.0
0.105,0.9999999999769713,-0.0,-0.0
0.106,0.9999999999769713,-0.0,-0.0
0.107,0.9999999999769713,-0.0,-0.0
0.108,0.9999999999769713,-0.0,-0.0
0.109,0.9999999999769713,-0.0,-0.0
0.11,0.9999999999769713,-0.0,-0.0
0.111,0.9999999999769713,-0.0,-0.0
0.112,0.9999999999769713,-0.0,-0.0
0.113,0.9999999999769713,-0.0,-0.0
0.114,0.9999999999769713,-0.0,-0.0
0.115,0.9999999999769713,-0.0,-0.0
0.116,0.9999999999769713,-0.0,-0.0
0.117,0.9999999999769713,-0.0,-0.0
0.118,0.9999999999769713,-0.0,-0.0
0.119,0.9999999999769713,-0.0,-0.0
0.12,0.9999999999769713,-0.0,-0.0
0.121,0.9999999999769713,-0.0,-0.0
0.122,0.9999999999769713,-0.0,-0.0
0.123,0.9999999999769713,-0.0,-0.0
0.124,0.9999999999769713,-0.0,-0.0
0.125,0.9999999999769713,-0.0,-0.0
0.126,0.9999999999769713,-0.0,-0.0
0.127,0.9999999999769713,-0.0,-0.0
0.128,0.9999999999769713,-0.0,-0.0
0.129,0.9999999999769713,-0.0,-0.0
0.13,0.9999999999769713,-0.0,-0.0
0.131,0.9999999999769713,-0.0,-0.0
0.132,0.9999999999769713,-0.0,-0.0
0.133,0.9999999999769713,-0.0,-0.0
0.134,0.9999999999769713,-0.0,-0.0
0.135,0.9999999999769713,-0.0,-0.0
0.136,0.9999999999769713,-0.0,-0.0
0.137,0.9999999999769713,-0.0,-0.0
0.138,0.9999999999769713,-0.0,-0.0
0.139,0.9999999999769713,-0.0,-0.0
0.14,0.9999999999769713,-0.0,-0.0
0.141,0.9999999999769713,-0.0,-0.0
0.142,0.9999999999769713,-0.0,-0.0
0.143,0.9999999999769713,-0.0,-0.0
0.144,0.9999999999769713,-0.0,-0.0
0.145,0.9999999999769713,-0.0,-0.0
0.146,0.9999999999769713,-0.0,-0.0
0.147,0.9999999999769713,-0.0,-0.0
0.148,0.9999999999769713,-0.0,-0.0
0.149,0.9999999999769713,-0.0,-0.0
0.15,0.9999999999769713,-0.0,-0.0
0.151,0.9999999999769713,-0.0,-0.0
0.152,0.9999999999769713,-0.0,-0.0
0.153,0.9999999999769713,-0.0,-0.0
0.154,0.9999999999769713,-0.0,-0.0
0.155,0.9999999999769713,-0.0,-0.0
0.156,0.9999999999769713,-0.0,-0.0
0.157,0.9999999999769713,-0.0,-0.0
0.158,0.9999999999769713,-0.0,-0.0
0.159,0.9999999999769713,-0.0,-0.0
0.16,0.9999999999769713,-0.0,-0.0
0.161,0.9999999999769713,-0.0,-0.0
0.162,0.9999999999769713,-0.0,-0.0
0.163,0.9999999999769713,-0.0,-0.0
0.164,0.9999999999769713,-0.0,-0.0
0.165,0.9999999999769713,-0.0,-0.0
0.166,0.9999999999769713,-0.0,-0.0
0.167,0.9999999999769713,-0.0,-0.0
0.168,0.9999999999769713,-0.0,-0.0
0.169,0.9999999999769713,-0.0,-0.0
0.17,0.9999999999769713,-0.0,-0.0
0.171,0.9999999999769713,-0.0,-0.0
0.172,0.9999999999769713,-0.0,-0.0
0.173,0.9999999999769713,-0.0,-0.0
0.174,0.9999999999769713,-0.0,-0.0
0.175,0.9999999999769713,-0.0,-0.0
0.176,0.9999999999769713,-0.0,-0.0
0.177,0.9999999999769713,-0.0,-0.0
0.178,0.9999999999769713,-0.0,-0.0
0.179,0.9999999999769713,-0.0,-0.0
0.18,0.9999999999769713,-0.0,-0.0
0.181,0.9999999999769713,-0.0,-0.0
0.182,0.9999999999769713,-0.0,-0.0
0.183,0.9999999999769713,-0.0,-0.0
0.184,0.9999999999769713,-0.0,-0.0
0.185,0.9999999999769713,-0.0,-0.0
0.186,0.9999999999769713,-0.0,-0.0
0.187,0.9999999999769713,-0.0,-0.0
0.188,0.9999999999769713,-0.0,-0.0
0.189,0.9999999999769713,-0.0,-0.0
0.19,0.9999999999769713,-0.0,-0.0
0.191,0.9999999999769713,-0.0,-0.0
0.192,0.9999999999769713,-0.0,-0.0
0.193,0.9999999999769713,-0.0,-0.0
0.194,0.9999999999769713,-0.0,-0.0
0.195,0.9999999999769713,-0.0,-0.0
0.196,0.9999999999769713,-0.0,-0.0
0.197,0.9999999999769713,-0.0,-0.0
0.198,0.9999999999769713,-0.0,-0.0
0.199,0.9999999999769713,-0.0,-0.0
0.2,0.9999999999865626,182.66666666666666,-0.0
0.201,0.9999999999866128,183.61350000000004,-0.0
0.202,0.9999999999866623,184.5606666666667,-0.0
0.203,0.9999999999867121,185.50816666666668,1.0164395367051604e-23
0.204,0.9999999999867618,186.45600000000005,-0.0
0.205,0.9999999999868117,187.40416666666667,-0.0
0.206,0.9999999999868613,188.35266666666666,-1.0164395367051604e-23
0.207,0.9999999999869111,189.3015,-1.0164395367051604e-23
0.208,0.9999999999869612,190.25066666666672,1.0164395367051604e-23
0.209,0.9999999999870111,191.2001666666667,-0.0
0.21,0.9999999999870607,192.14999999999998,-0.0
0.211,0.9999999999871105,193.10016666666667,-0.0
0.212,0.9999999999871607,194.05066666666667,-0.0
0.213,0.9999999999872106,195.00150000000002,-1.0164395367051604e-23
0.214,0.9999999999872605,195.95266666666672,2.032879073410321e-23
0.215,0.9999999999873105,196.90416666666667,1.0164395367051604e-23
0.216,0.9999999999873604,197.85600000000005,-0.0
0.217,0.9999999999874107,198.8081666666667,-0.0
0.218,0.9999999999874603,199.76066666666668,-0.0
0.219,0.9999999999875107,200.71349999999995,-1.0164395367051604e-23
0.22,0.9999999999875606,201.66666666666669,-1.0164395367051604e-23
0.221,0.9999999999876106,202.6201666666667,-1.0164395367051604e-23
0.222,0.9999999999876608,203.574,-0.0
0.223,0.9999999999877109,204.52816666666666,-1.0164395367051604e-23
0.224,0.9999999999877609,205.48266666666666,-0.0
0.225,0.9999999999878109,206.4375,-0.0
0.226,0.9999999999878613,207.39266666666668,-1.0164395367051604e-23
0.227,0.9999999999879113,208.34816666666666,1.0164395367051604e-23
0.228,0.9999999999879619,209.304,1.0164395367051604e-23
0.229,0.9999999999880117,210.26016666666666,-0.0
0.23,0.999999999988062,211.21666666666664,-0.0
0.231,0.9999999999881124,212.17350000000005,1.0164395367051604e-23
0.232,0.9999999999881627,213.13066666666663,-1.0164395367051604e-23
0.233,0.9999999999882129,214.08816666666667,-1.0164395367051604e-23
0.234,0.9999999999882629,215.04600000000005,-0.0
0.235,0.9999999999883132,216.0041666666667,-0.0
0.236,0.9999999999883638,216.96266666666668,-0.0
