hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 7967.22, 0.00150436, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.020919, -89.9985, 0.020919, 150.002, 0.020919, 30.0015, 4.0824E-012, 150.001
0, 2.00000, 7966.3, -0.0460503, 7966.3, -120.046, 7966.3, 119.954, 0, 0, 0.459759, 34.9596, 0.459759, -85.0404, 0.459759, 154.96, 8.97231E-011, -85.0405
0, 3.00000, 7958.72, -0.372249, 7958.72, -120.372, 7958.72, 119.628, 0, 0, 3.7098, 35.2511, 3.7098, -84.7489, 3.7098, 155.251, 7.23976E-010, -84.749
0, 4.00000, 7907.64, -1.41634, 7907.64, -121.416, 7907.64, 118.584, 0, 0, 15.4337, 71.4276, 15.4337, -48.5724, 15.4337, -168.572, 3.01191E-009, -48.5725
0, 5.00000, 7827.64, -2.18628, 7827.64, -122.186, 7827.64, 117.814, 0, 0, 24.4102, 75.1159, 24.4102, -44.8841, 24.4102, -164.884, 4.7637E-009, -44.8842
0, 6.00000, 7696.2, -2.59613, 7696.2, -122.596, 7696.2, 117.404, 0, 0, 28.3805, 74.709, 28.3805, -45.291, 28.3805, -165.291, 5.53851E-009, -45.2912
0, 7.00000, 7548.51, -3.69318, 7548.51, -123.693, 7548.51, 116.307, 0, 0, 37.2521, 67.6403, 37.2521, -52.3597, 37.2521, -172.36, 7.26984E-009, -52.3597
0, 8.00000, 7924.13, 0.430441, 7924.13, -119.57, 7924.13, 120.43, 0, 0, 31.5292, -52.6724, 31.5292, -172.672, 31.5292, 67.3276, 6.153E-009, -172.672
0, 9.00000, 7768.59, -1.93559, 7768.59, -121.936, 7768.59, 118.064, 0, 0, 23.4702, 7.23502, 23.4702, -112.765, 23.4702, 127.235, 4.58028E-009, -112.765
0, 10.00000, 7809.56, -3.38667, 7809.56, -123.387, 7809.56, 116.613, 0, 0, 34.8034, 24.6062, 34.8034, -95.3938, 34.8034, 144.606, 6.79195E-009, -95.3938
0, 11.00000, 7555.91, -4.49463, 7555.91, -124.495, 7555.91, 115.505, 0, 0, 44.0978, 26.7075, 44.0978, -93.2925, 44.0978, 146.707, 8.60578E-009, -93.2925
0, 12.00000, 7814.96, 1.08625, 7814.96, -118.914, 7814.96, 121.086, 0, 0, 15.1042, -88.9137, 15.1042, 151.086, 15.1042, 31.0862, 2.94762E-009, 151.086
0, 13.00000, 7958.62, 0.117465, 7958.62, -119.883, 7958.62, 120.117, 0, 0, 1.31182, -106.582, 1.31182, 133.418, 1.31182, 13.4182, 2.56006E-010, 133.418
0, 14.00000, 7934.6, 0.667304, 7934.6, -119.333, 7934.6, 120.667, 0, 0, 6.94745, -115.142, 6.94745, 124.858, 6.94745, 4.85829, 1.35581E-009, 124.858
0, 15.00000, 7971.42, 0.61758, 7971.42, -119.382, 7971.42, 120.618, 0, 0, 6.08061, -137.345, 6.08061, 102.655, 6.08061, -17.3453, 1.18665E-009, 102.655
0, 16.00000, 8082.37, 1.57067, 8082.37, -118.429, 8082.37, 121.571, 0, 0, 18.061, -105.151, 18.061, 134.849, 18.061, 14.8492, 3.52463E-009, 134.849
0, 17.00000, 8307.18, 1.69738, 8307.18, -118.303, 8307.18, 121.697, 0, 0, 20.0868, -105.02, 20.0868, 134.98, 20.0868, 14.9796, 3.91999E-009, 134.98
0, 18.00000, 8630.51, 2.19577, 8630.51, -117.804, 8630.51, 122.196, 0, 0, 25.3912, -112.053, 25.3912, 127.947, 25.3912, 7.94704, 4.95514E-009, 127.947
0, 19.00000, 8261.11, -0.663388, 8261.11, -120.663, 8261.11, 119.337, 0, 0, 32.7016, 123.064, 32.7016, 3.06408, 32.7016, -116.936, 6.38179E-009, 3.06398
0, 20.00000, 8258.43, -0.105949, 8258.43, -120.106, 8258.43, 119.894, 0, 0, 31.8614, 133.058, 31.8614, 13.0577, 31.8614, -106.942, 6.21783E-009, 13.0577
0, 21.00000, 8172.49, 1.61334, 8172.49, -118.387, 8172.49, 121.613, 0, 0, 30.2808, 167.5, 30.2808, 47.5002, 30.2808, -72.4998, 5.90937E-009, 47.5
0, 22.00000, 9349.38, 3.03623, 9349.38, -116.964, 9349.38, 123.036, 0, 0, 35.6425, -145.751, 35.6425, 94.2486, 35.6425, -25.7514, 6.9557E-009, 94.2485
0, 23.00000, 8282.59, -2.31368, 8282.59, -122.314, 8282.59, 117.686, 0, 0, 32.1648, 87.6863, 32.1648, -32.3137, 32.1648, -152.314, 6.27704E-009, -32.3138
0, 24.00000, 8282.66, -2.31422, 8282.66, -122.314, 8282.66, 117.686, 0, 0, 32.1724, 87.6858, 32.1724, -32.3142, 32.1724, -152.314, 6.27851E-009, -32.3143
