hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 1.00000, 7967.22, 0.00150436, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.020919, -89.9985, 0.020919, 150.002, 0.020919, 30.0015, 4.0824E-012, 150.001
0, 2.00000, 7966.3, -0.0460503, 7966.3, -120.046, 7966.3, 119.954, 0, 0, 0.459759, 34.9596, 0.459759, -85.0404, 0.459759, 154.96, 8.97231E-011, -85.0405
0, 3.00000, 7958.72, -0.372249, 7958.72, -120.372, 7958.72, 119.628, 0, 0, 3.7098, 35.2511, 3.7098, -84.7489, 3.7098, 155.251, 7.23976E-010, -84.749
0, 4.00000, 7907.64, -1.41634, 7907.64, -121.416, 7907.64, 118.584, 0, 0, 15.4337, 71.4276, 15.4337, -48.5724, 15.4337, -168.572, 3.01191E-009, -48.5725
0, 5.00000, 7827.64, -2.18628, 7827.64, -122.186, 7827.64, 117.814, 0, 0, 24.4102, 75.1159, 24.4102, -44.8841, 24.4102, -164.884, 4.7637E-009, -44.8842
0, 6.00000, 7696.2, -2.59613, 7696.2, -122.596, 7696.2, 117.404, 0, 0, 28.3805, 74.709, 28.3805, -45.291, 28.3805, -165.291, 5.53851E-009, -45.2912
0, 7.00000, 7548.51, -3.69318, 7548.51, -123.693, 7548.51, 116.307, 0, 0, 37.2521, 67.6403, 37.2521, -52.3597, 37.2521, -172.36, 7.26984E-009, -52.3597
0, 8.00000, 7924.13, 0.430441, 7924.13, -119.57, 7924.13, 120.43, 0, 0, 31.5292, -52.6724, 31.5292, -172.672, 31.5292, 67.3276, 6.153E-009, -172.672
0, 9.00000, 7768.59, -1.93559, 7768.59, -121.936, 7768.59, 118.064, 0, 0, 23.4702, 7.23502, 23.4702, -112.765, 23.4702, 127.235, 4.58028E-009, -112.765
0, 10.00000, 7809.54, -3.38657, 7809.54, -123.387, 7809.54, 116.613, 0, 0, 34.8027, 24.6042, 34.8027, -95.3959, 34.8027, 144.604, 6.79184E-009, -95.396
0, 11.00000, 7710.81, -4.53685, 7710.81, -124.537, 7710.81, 115.463, 0, 0, 43.2293, 41.0831, 43.2293, -78.9169, 43.2293, 161.083, 8.4363E-009, -78.9169
0, 12.00000, 7856.75, 0.790516, 7856.75, -119.209, 7856.75, 120.791, 0, 0, 10.9924, -89.2095, 10.9924, 150.791, 10.9924, 30.7905, 2.1452E-009, 150.79
0, 13.00000, 7958.62, 0.117465, 7958.62, -119.883, 7958.62, 120.117, 0, 0, 1.31182, -106.582, 1.31182, 133.418, 1.31182, 13.4182, 2.56006E-010, 133.418
0, 14.00000, 7945.75, 0.587368, 7945.75, -119.413, 7945.75, 120.587, 0, 0, 5.96797, -119.818, 5.96797, 120.182, 5.96797, 0.181884, 1.16466E-009, 120.182
0, 15.00000, 7974.37, 0.596326, 7974.37, -119.404, 7974.37, 120.596, 0, 0, 5.8866, -139.48, 5.8866, 100.52, 5.8866, -19.4804, 1.14878E-009, 100.52
0, 16.00000, 8082.33, 1.5709, 8082.33, -118.429, 8082.33, 121.571, 0, 0, 18.0641, -105.148, 18.0641, 134.852, 18.0641, 14.8523, 3.52525E-009, 134.852
0, 17.00000, 8307.18, 1.69738, 8307.18, -118.303, 8307.18, 121.697, 0, 0, 20.0868, -105.02, 20.0868, 134.98, 20.0868, 14.9796, 3.91999E-009, 134.98
0, 18.00000, 8630.51, 2.19577, 8630.51, -117.804, 8630.51, 122.196, 0, 0, 25.3912, -112.053, 25.3912, 127.947, 25.3912, 7.94704, 4.95514E-009, 127.947
0, 19.00000, 8261.11, -0.663387, 8261.11, -120.663, 8261.11, 119.337, 0, 0, 32.7016, 123.064, 32.7016, 3.06409, 32.7016, -116.936, 6.38179E-009, 3.06389
0, 20.00000, 8258.43, -0.105949, 8258.43, -120.106, 8258.43, 119.894, 0, 0, 31.8614, 133.058, 31.8614, 13.0577, 31.8614, -106.942, 6.21783E-009, 13.0577
0, 21.00000, 8172.49, 1.61334, 8172.49, -118.387, 8172.49, 121.613, 0, 0, 30.2808, 167.5, 30.2808, 47.5002, 30.2808, -72.4998, 5.90937E-009, 47.5001
0, 22.00000, 9300.61, 3.11181, 9300.61, -116.888, 9300.61, 123.112, 0, 0, 35.8399, -140.057, 35.8399, 99.943, 35.8399, -20.057, 6.99422E-009, 99.9429
0, 23.00000, 8282.62, -2.31389, 8282.62, -122.314, 8282.62, 117.686, 0, 0, 32.1678, 87.6861, 32.1678, -32.3139, 32.1678, -152.314, 6.27762E-009, -32.314
0, 24.00000, 8282.68, -2.31438, 8282.68, -122.314, 8282.68, 117.686, 0, 0, 32.1746, 87.6856, 32.1746, -32.3144, 32.1746, -152.314, 6.27894E-009, -32.3144
