hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22141E-010, -83.2448
2, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2448
3, 0.00000, 7937.15, -0.217416, 7937.15, -120.217, 7937.15, 119.783, 0, 0, 3.02372, -0.217632, 3.02372, -120.218, 3.02372, 119.782, 5.90085E-010, -120.218
4, 0.00000, 7955.72, -0.56956, 7955.72, -120.57, 7955.72, 119.43, 0, 0, 5.65642, 36.2999, 5.65642, -83.7001, 5.65642, 156.3, 1.10386E-009, -83.7002
5, 0.00000, 7951.57, -0.759484, 7951.57, -120.759, 7951.57, 119.241, 0, 0, 7.54618, 36.1203, 7.54618, -83.8797, 7.54618, 156.12, 1.47265E-009, -83.8797
6, 0.00000, 7936.6, -1.42726, 7936.6, -121.427, 7936.6, 118.573, 0, 0, 14.1751, 35.4437, 14.1751, -84.5563, 14.1751, 155.444, 2.7663E-009, -84.5563
7, 0.00000, 7913.15, -2.3837, 7913.15, -122.384, 7913.15, 117.616, 0, 0, 23.6925, 34.5358, 23.6925, -85.4642, 23.6925, 154.536, 4.62365E-009, -85.4644
8, 0.00000, 7897.3, -4.28169, 7897.3, -124.282, 7897.3, 115.718, 0, 0, 42.2047, 36.1183, 42.2047, -83.8817, 42.2047, 156.118, 8.23635E-009, -83.8817
9, 0.00000, 7965.14, -0.114592, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1382, 36.7603, 1.1382, -83.2397, 1.1382, 156.76, 2.22122E-010, -83.2398
10, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2446
11, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2448
12, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2448
13, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2448
14, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2448
15, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2448
16, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2448
17, 0.00000, 7997.38, 0.215726, 7997.38, -119.784, 7997.38, 120.216, 0, 0, 3.00091, -179.784, 3.00091, 60.2161, 3.00091, -59.7839, 5.85635E-010, 60.216
18, 0.00000, 7978.32, 0.567731, 7978.32, -119.432, 7978.32, 120.568, 0, 0, 5.64015, -142.561, 5.64015, 97.4387, 5.64015, -22.5613, 1.10069E-009, 97.4387
19, 0.00000, 7981.77, 0.756786, 7981.77, -119.243, 7981.77, 120.757, 0, 0, 7.51704, -142.373, 7.51704, 97.6266, 7.51704, -22.3734, 1.46697E-009, 97.6266
20, 0.00000, 7993.13, 1.41704, 7993.13, -118.583, 7993.13, 121.417, 0, 0, 14.0742, -141.714, 14.0742, 98.2864, 14.0742, -21.7136, 2.74661E-009, 98.2864
21, 0.00000, 8007.6, 2.35615, 8007.6, -117.644, 8007.6, 122.356, 0, 0, 23.4165, -140.722, 23.4165, 99.2782, 23.4165, -20.7218, 4.56979E-009, 99.2782
22, 0.00000, 7993.17, 4.23216, 7993.17, -115.768, 7993.17, 124.232, 0, 0, 41.7054, -135.386, 41.7054, 104.614, 41.7054, -15.3865, 8.13892E-009, 104.613
23, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2449
24, 0.00000, 7965.14, -0.114601, 7965.14, -120.115, 7965.14, 119.885, 0, 0, 1.1383, 36.7553, 1.1383, -83.2447, 1.1383, 156.755, 2.22142E-010, -83.2448
