Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
60, 1.00000, 7939.88, -1.80054, 7939.88, -121.801, 7939.88, 118.199, 910.061, -3.73246, 910.061, -123.732, 910.061, 116.268
180, 3.00000, 3.17172E-009, 168.758, 1.73088E-008, 62.0659, 1.66769E-008, -107.438, 3.83175E-009, -100.028, 2.09108E-008, 153.28, 2.01474E-008, -16.2232
300, 5.00000, 0.00241644, 174.148, 0.00241613, -65.8505, 0.00241625, 54.1426, 0.00175183, -95.1228, 0.00175161, 24.8783, 0.00175169, 144.871
420, 7.00000, 0.00240773, -29.7083, 0.0024079, -149.695, 0.00240828, 90.2945, 0.00124684, 60.8122, 0.00124694, -59.1748, 0.00124713, -179.185
540, 9.00000, 1.49079E-008, -62.3078, 1.81529E-008, -163.638, 2.11053E-008, 60.197, 6.00459E-009, 28.0971, 7.31164E-009, -73.2336, 8.50081E-009, 150.602
660, 11.00000, 190.771, 27.5035, 190.771, 147.504, 190.771, -92.4965, 62.8687, 117.835, 62.8687, -122.165, 62.8687, -2.16517
780, 13.00000, 93.8929, 42.3316, 93.8929, -77.6684, 93.8929, 162.332, 26.1822, 132.612, 26.1822, 12.612, 26.1822, -107.388
900, 15.00000, 5.6573E-009, 94.6465, 1.49769E-008, -169.587, 1.54689E-008, -10.9251, 1.36721E-009, -175.111, 3.6195E-009, -79.3441, 3.7384E-009, 79.3179
60, 1.00000, 7944.43, -1.58534, 7944.43, -121.585, 7944.43, 118.415, 801.059, -3.32245, 801.059, -123.322, 801.059, 116.678
180, 3.00000, 2.81563E-009, -173.552, 1.09555E-008, 64.2893, 9.75259E-009, -101.564, 3.40156E-009, -82.3371, 1.32353E-008, 155.504, 1.17821E-008, -10.3491
300, 5.00000, 0.0010986, 176.748, 0.00109842, -63.2501, 0.00109848, 56.741, 0.000796446, -92.5232, 0.000796318, 27.4787, 0.000796359, 147.47
420, 7.00000, 0.00109514, -26.4823, 0.00109522, -146.466, 0.00109546, 93.522, 0.000567118, 64.0383, 0.000567164, -55.9451, 0.000567283, -175.957
540, 9.00000, 6.97082E-009, -49.1194, 1.25266E-008, -154.668, 1.25974E-008, 57.5476, 2.80771E-009, 41.2855, 5.04547E-009, -64.2628, 5.074E-009, 147.952
660, 11.00000, 83.2579, 30.777, 83.2579, 150.777, 83.2579, -89.223, 27.4376, 121.108, 27.4376, -118.892, 27.4376, 1.10827
780, 13.00000, 41.3532, 45.8185, 41.3532, -74.1815, 41.3532, 165.819, 11.5314, 136.099, 11.5314, 16.0988, 11.5314, -103.901
900, 15.00000, 2.46288E-009, 74.0511, 1.03747E-008, -168.602, 9.49863E-009, -1.91777, 5.95208E-010, 164.294, 2.50726E-009, -78.3595, 2.29555E-009, 88.3252
60, 1.00000, 7924.63, -2.43258, 7924.63, -122.433, 7924.63, 117.567, 1230.62, -4.93934, 1230.62, -124.939, 1230.62, 115.061
180, 3.00000, 2.42219E-009, -178.065, 9.46239E-009, 59.4679, 8.41407E-009, -106.476, 2.92625E-009, -86.8506, 1.14315E-008, 150.682, 1.0165E-008, -15.261
300, 5.00000, 0.000689631, 166.96, 0.000689481, -73.0381, 0.000689535, 46.9502, 0.000499957, -102.311, 0.000499849, 17.6907, 0.000499887, 137.679
420, 7.00000, 0.00068983, -38.2116, 0.000689892, -158.19, 0.000690088, 81.7949, 0.00035723, 52.309, 0.000357262, -67.6693, 0.000357363, 172.315
540, 9.00000, 5.49212E-009, -59.9356, 9.82937E-009, -165.652, 9.87592E-009, 46.7136, 2.21212E-009, 30.4693, 3.95907E-009, -75.2473, 3.97782E-009, 137.118
660, 11.00000, 63.0726, 19.1454, 63.0726, 139.145, 63.0726, -100.855, 20.7856, 109.477, 20.7856, -130.523, 20.7856, -10.5233
780, 13.00000, 30.2985, 33.7192, 30.2985, -86.2808, 30.2985, 153.719, 8.44877, 124, 8.44877, 3.99955, 8.44877, -116
900, 15.00000, 1.75106E-009, 61.721, 7.38195E-009, 179.179, 6.75565E-009, -14.1179, 4.23181E-010, 151.964, 1.78401E-009, -90.5779, 1.63265E-009, 76.1251
60, 1.00000, 7952.89, -1.13816, 7952.89, -121.138, 7952.89, 118.862, 574.771, -2.47176, 574.771, -122.472, 574.771, 117.528
180, 3.00000, 3.83436E-009, -170.905, 1.49579E-008, 66.9617, 1.33202E-008, -98.9295, 4.63229E-009, -79.6903, 1.80706E-008, 158.176, 1.60921E-008, -7.71497
300, 5.00000, 0.00171723, -177.618, 0.00171699, -57.6158, 0.00171706, 62.3763, 0.00124493, -86.8889, 0.00124475, 33.113, 0.0012448, 153.105
420, 7.00000, 0.00171394, -19.2779, 0.00171408, -139.263, 0.00171439, 100.725, 0.000887566, 71.2427, 0.000887637, -48.7426, 0.000887799, -168.754
540, 9.00000, 1.00156E-008, -42.7485, 1.78001E-008, -148.442, 1.79083E-008, 64.1338, 4.03407E-009, 47.6564, 7.16952E-009, -58.0375, 7.2131E-009, 154.539
660, 11.00000, 120.581, 38.2966, 120.581, 158.297, 120.581, -81.7033, 39.7374, 128.628, 39.7374, -111.372, 39.7374, 8.62793
780, 13.00000, 61.0464, 54.0623, 61.0464, -65.9377, 61.0464, 174.062, 17.0229, 144.343, 17.0229, 24.3426, 17.0229, -95.6574
900, 15.00000, 3.60548E-009, 82.566, 1.55839E-008, -160.157, 1.42953E-008, 6.88887, 8.71344E-010, 172.809, 3.76619E-009, -69.9142, 3.45478E-009, 97.1318
60, 1.00000, 7944.16, -1.59893, 7944.16, -121.599, 7944.16, 118.401, 807.941, -3.34833, 807.941, -123.348, 807.941, 116.652
180, 3.00000, 1.74593E-009, -172.975, 6.90094E-009, 64.2238, 6.13326E-009, -101.932, 2.10925E-009, -81.7603, 8.33701E-009, 155.438, 7.40958E-009, -10.7179
300, 5.00000, 0.000688955, 176.581, 0.000688843, -63.4172, 0.000688879, 56.5738, 0.000499467, -92.6904, 0.000499386, 27.3116, 0.000499412, 147.303
420, 7.00000, 0.000686756, -26.6919, 0.000686811, -146.675, 0.000686957, 93.3125, 0.000355638, 63.8287, 0.000355666, -56.1546, 0.000355742, -176.167
540, 9.00000, 4.41179E-009, -49.4332, 7.87353E-009, -155.185, 7.91177E-009, 57.2726, 1.77698E-009, 40.9717, 3.1713E-009, -64.7806, 3.1867E-009, 147.677
660, 11.00000, 52.3418, 30.5635, 52.3418, 150.564, 52.3418, -89.4365, 17.2493, 120.895, 17.2493, -119.105, 17.2493, 0.894795
780, 13.00000, 25.9824, 45.5892, 25.9824, -74.4108, 25.9824, 165.589, 7.24523, 135.869, 7.24523, 15.8695, 7.24523, -104.131
900, 15.00000, 1.54849E-009, 73.8078, 6.51109E-009, -168.962, 5.96369E-009, -2.31106, 3.74227E-010, 164.051, 1.57355E-009, -78.7193, 1.44126E-009, 87.9319
60, 1.00000, 7958.73, -0.776, 7958.73, -120.776, 7958.73, 119.224, 391.708, -1.78396, 391.708, -121.784, 391.708, 118.216
180, 3.00000, 2.51575E-009, -168.79, 9.82686E-009, 68.6524, 8.7343E-009, -97.2977, 3.03927E-009, -77.5756, 1.18718E-008, 159.867, 1.05519E-008, -6.08323
300, 5.00000, 0.00124217, -172.899, 0.00124201, -52.8971, 0.00124206, 67.0956, 0.00090053, -82.1702, 0.000900415, 37.8317, 0.000900447, 157.824
420, 7.00000, 0.00123969, -13.0735, 0.00123979, -133.06, 0.00123999, 106.929, 0.000641975, 77.4471, 0.000642027, -42.5395, 0.000642131, -162.55
540, 9.00000, 6.66896E-009, -36.7556, 1.19907E-008, -142.667, 1.2017E-008, 69.5894, 2.68613E-009, 53.6493, 4.8296E-009, -52.2616, 4.84019E-009, 159.994
660, 11.00000, 82.2415, 45.0451, 82.2415, 165.045, 82.2415, -74.9549, 27.1027, 135.376, 27.1027, -104.624, 27.1027, 15.3764
780, 13.00000, 42.2167, 61.7091, 42.2167, -58.2909, 42.2167, -178.291, 11.7722, 151.989, 11.7722, 31.9894, 11.7722, -88.0106
900, 15.00000, 2.5935E-009, 91.22, 1.09513E-008, -151.55, 1.00332E-008, 15.1625, 6.26777E-010, -178.537, 2.64661E-009, -61.3066, 2.42474E-009, 105.405
60, 1.00000, 7946.39, -1.48793, 7946.39, -121.488, 7946.39, 118.512, 751.746, -3.13701, 751.746, -123.137, 751.746, 116.863
180, 3.00000, 1.19639E-009, -172.601, 4.70642E-009, 64.6598, 4.18226E-009, -101.417, 1.44535E-009, -81.3864, 5.68582E-009, 155.874, 5.05258E-009, -10.2027
300, 5.00000, 0.000486905, 177.954, 0.000486829, -62.0445, 0.000486853, 57.9468, 0.000352988, -91.3177, 0.000352933, 28.6843, 0.00035295, 148.676
420, 7.00000, 0.00048551, -24.963, 0.000485549, -144.947, 0.000485648, 95.041, 0.000251422, 65.5575, 0.000251442, -54.4263, 0.000251494, -174.438
540, 9.00000, 3.01981E-009, -47.6602, 5.43282E-009, -153.291, 5.45837E-009, 58.9025, 1.21632E-009, 42.7446, 2.18823E-009, -62.8863, 2.19852E-009, 149.307
660, 11.00000, 36.2646, 32.3332, 36.2646, 152.333, 36.2646, -87.6668, 11.951, 122.664, 11.951, -117.336, 11.951, 2.66445
780, 13.00000, 18.0879, 47.4984, 18.0879, -72.5016, 18.0879, 167.498, 5.04384, 137.779, 5.04384, 17.7787, 5.04384, -102.221
900, 15.00000, 1.09364E-009, 75.8755, 4.55472E-009, -166.921, 4.16979E-009, -0.410501, 2.64302E-010, 166.118, 1.10075E-009, -76.6781, 1.00772E-009, 89.8324
60, 1.00000, 7918.23, -2.66849, 7918.23, -122.668, 7918.23, 117.332, 1350.44, -5.39095, 1350.44, -125.391, 1350.44, 114.609
180, 3.00000, 2.25237E-009, -179.27, 8.82128E-009, 58.4037, 7.85102E-009, -107.567, 2.72109E-009, -88.0551, 1.0657E-008, 149.618, 9.48481E-009, -16.3521
300, 5.00000, 0.000577089, 164.534, 0.00057695, -75.4634, 0.000577001, 44.5236, 0.000418368, -104.737, 0.000418268, 15.2654, 0.000418305, 135.252
420, 7.00000, 0.000580422, -40.8955, 0.000580476, -160.872, 0.000580657, 79.1117, 0.000300572, 49.6251, 0.000300601, -70.3513, 0.000300694, 169.632
540, 9.00000, 4.97979E-009, -62.56, 8.90783E-009, -168.156, 8.96078E-009, 44.2062, 2.00576E-009, 27.8449, 3.58789E-009, -77.7511, 3.60922E-009, 134.611
660, 11.00000, 56.6198, 16.4719, 56.6198, 136.472, 56.6198, -103.528, 18.6591, 106.803, 18.6591, -133.197, 18.6591, -13.1968
780, 13.00000, 26.9876, 31.052, 26.9876, -88.948, 26.9876, 151.052, 7.52553, 121.332, 7.52553, 1.33232, 7.52553, -118.668
900, 15.00000, 1.56072E-009, 59.0882, 6.53401E-009, 176.58, 5.97613E-009, -16.8151, 3.77182E-010, 149.331, 1.57909E-009, -93.1769, 1.44426E-009, 73.4278
60, 1.00000, 7896.28, -3.38808, 7896.28, -123.388, 7896.28, 116.612, 1716.55, -6.77296, 1716.55, -126.773, 1716.55, 113.227
180, 3.00000, 4.01852E-009, 176.456, 1.55793E-008, 54.2675, 1.38622E-008, -111.531, 4.85477E-009, -92.3294, 1.88213E-008, 145.482, 1.6747E-008, -20.3164
300, 5.00000, 0.000676836, 158.547, 0.000676599, -81.4504, 0.000676686, 38.5307, 0.000490681, -110.725, 0.000490509, 9.27835, 0.000490573, 129.259
420, 7.00000, 0.000714191, -46.8293, 0.000714285, -166.798, 0.000714582, 73.18, 0.000369845, 43.6912, 0.000369894, -76.277, 0.000370047, 163.701
540, 9.00000, 8.03188E-009, -69.3609, 1.43927E-008, -175.192, 1.44426E-008, 37.1542, 3.23508E-009, 21.044, 5.7971E-009, -84.7869, 5.81721E-009, 127.559
660, 11.00000, 89.3705, 9.57988, 89.3705, 129.58, 89.3705, -110.42, 29.4521, 99.9112, 29.4521, -140.089, 29.4521, -20.0888
780, 13.00000, 41.7772, 24.3618, 41.7772, -95.6382, 41.7772, 144.362, 11.6496, 114.642, 11.6496, -5.3579, 11.6496, -125.358
900, 15.00000, 2.32683E-009, 52.896, 9.94691E-009, 170.065, 9.12243E-009, -23.0515, 5.6233E-010, 143.139, 2.40389E-009, -99.6925, 2.20464E-009, 67.1915
