hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0
8, 0.00000, -106.24, 0.0889097, -106.173, -0.0501927, -106.327, -0.038717
9, 0.00000, -89.8592, 0.084047, -89.7901, -0.0443333, -89.9357, -0.0397137
10, 0.00000, -247.763, 0.239333, -247.647, -0.172851, -248.062, -0.0664826
11, 0.00000, -157.688, 0.165221, -157.572, -0.0982897, -157.858, -0.0669314
12, 0.00000, 139.887, -51.0839, 164.303, -74.7545, 172.623, -41.7684
13, 0.00000, 140.388, -50.8904, 164.704, -74.4671, 172.993, -41.6143
14, 0.00000, -93.9535, 0.105833, -93.8662, -0.0512431, -94.0457, -0.048051
15, 0.00000, -189.919, 0.217772, -189.782, -0.120949, -190.143, -0.0698274
16, 0.00000, -75.0149, 0.0803366, -74.9402, -0.0459446, -75.0868, -0.047224
17, 0.00000, -94.2121, 0.106988, -94.1223, -0.0535962, -94.3061, -0.05069
18, 0.00000, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0
