hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 276.466, -0.126982, 276.247, -120.065, 276.616, 119.943, 0, 0, 0, 0, 0, 0
2, 0.00000, 276.517, -0.117335, 276.314, -120.06, 276.655, 119.948, 0, 0, 0, 0, 0, 0
3, 0.00000, 276.533, -0.114163, 276.336, -120.058, 276.668, 119.949, 0, 0, 0, 0, 0, 0
4, 0.00000, 276.558, -0.109397, 276.369, -120.056, 276.688, 119.951, 0, 0, 0, 0, 0, 0
5, 0.00000, 276.561, -0.10883, 276.373, -120.056, 276.69, 119.952, 0, 0, 0, 0, 0, 0
6, 0.00000, 276.539, -0.113, 276.344, -120.058, 276.673, 119.95, 0, 0, 0, 0, 0, 0
7, 0.00000, 276.486, -0.123228, 276.273, -120.063, 276.632, 119.945, 0, 0, 0, 0, 0, 0
8, 0.00000, 277.7, 0.2546, 277.524, -119.67, 277.927, 120.323, 382.572, -179.697, 382.572, 60.3025, 382.572, -59.6974
9, 0.00000, 277.418, 0.178316, 277.205, -119.74, 277.654, 120.257, 323.913, -179.768, 323.912, 60.2319, 323.912, -59.7681
10, 0.00000, 279.269, 0.750936, 279.139, -119.154, 279.606, 120.822, 887.184, -179.194, 887.183, 60.8062, 887.183, -59.1937
11, 0.00000, 278.134, 0.409127, 277.929, -119.495, 278.434, 120.493, 566.95, -179.531, 566.95, 60.4691, 566.949, -59.5308
12, 0.00000, 277.115, 0.0254577, 277.101, -119.969, 277.129, 120.031, 537.402, 20.0867, 651.422, -95.5049, 640.873, 133.633
13, 0.00000, 277.115, 0.0255332, 277.101, -119.969, 277.129, 120.031, 538.862, 19.9511, 652.312, -95.6405, 642.04, 133.556
14, 0.00000, 277.323, 0.166037, 277.065, -119.738, 277.595, 120.26, 338.788, -179.769, 338.787, 60.2305, 338.787, -59.7694
15, 0.00000, 278.473, 0.518681, 278.272, -119.379, 278.802, 120.605, 682.002, -179.416, 682.001, 60.5843, 682.001, -59.4156
16, 0.00000, 277.073, 0.0922145, 276.797, -119.811, 277.339, 120.19, 270.741, -179.846, 270.741, 60.1535, 270.741, -59.8464
17, 0.00000, 277.306, 0.163281, 277.042, -119.739, 277.583, 120.259, 339.741, -179.772, 339.74, 60.2283, 339.74, -59.7716
18, 0.00000, 276.189, -0.179745, 275.879, -120.091, 276.403, 119.92, 0, 0, 0, 0, 0, 0
19, 0.00000, 276.211, -0.175613, 275.908, -120.089, 276.419, 119.922, 0, 0, 0, 0, 0, 0
20, 0.00000, 276.233, -0.171293, 275.938, -120.087, 276.437, 119.924, 0, 0, 0, 0, 0, 0
21, 0.00000, 276.27, -0.164344, 275.987, -120.084, 276.465, 119.927, 0, 0, 0, 0, 0, 0
22, 0.00000, 276.27, -0.164344, 275.987, -120.084, 276.465, 119.927, 0, 0, 0, 0, 0, 0
23, 0.00000, 276.317, -0.15533, 276.049, -120.079, 276.502, 119.931, 0, 0, 0, 0, 0, 0
24, 0.00000, 276.388, -0.141812, 276.144, -120.072, 276.556, 119.937, 0, 0, 0, 0, 0, 0
