hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, -85.3152, -33.1823, -68.6122, -49.2004, -63.0983, -26.7363
2, 0.00000, -78.8282, -30.6329, -63.4039, -45.447, -58.2923, -24.6908
3, 0.00000, -76.6957, -29.7956, -61.6914, -44.2135, -56.7127, -24.0187
4, 0.00000, -73.4912, -28.5383, -59.1178, -42.3603, -54.3393, -23.0091
5, 0.00000, -73.1099, -28.3889, -58.8116, -42.1399, -54.057, -22.8891
6, 0.00000, -75.9132, -29.4885, -61.063, -43.7609, -56.1332, -23.7722
7, 0.00000, -82.7909, -32.1897, -66.5856, -47.7396, -61.228, -25.9401
8, 0.00000, 11.7804, -36.9009, 30.1347, -54.6553, 36.3404, -29.8865
9, 0.00000, -15.1235, -40.9361, 5.34193, -60.6516, 12.1876, -33.0774
10, 0.00000, 134.917, -45.6766, 156.384, -66.657, 163.85, -37.5688
11, 0.00000, 38.585, -46.91, 61.6517, -69.213, 69.4489, -38.0886
12, 0.00000, -266.421, 0.114881, -266.69, -0.269984, -266.889, 0.155103
13, 0.00000, -266.421, 0.114532, -266.691, -0.269073, -266.888, 0.154963
14, 0.00000, -29.6967, -48.2792, -5.55067, -71.4518, 2.44804, -38.9655
15, 0.00000, 64.1704, -49.8461, 88.4313, -73.3445, 96.6729, -40.586
16, 0.00000, -50.9586, -49.147, -26.3117, -72.7414, -18.202, -39.6132
17, 0.00000, -31.9691, -49.2786, -7.32236, -72.9167, 0.828937, -39.7647
18, 0.00000, -120.807, -47.2034, -97.0835, -69.7685, -89.4169, -37.9608
19, 0.00000, -118.027, -46.1006, -94.8545, -68.1553, -87.3537, -37.0795
20, 0.00000, -115.12, -44.9485, -92.5243, -66.4692, -85.1971, -36.1586
21, 0.00000, -110.445, -43.0972, -88.7755, -63.758, -81.7289, -34.6781
22, 0.00000, -110.445, -43.0972, -88.7755, -63.758, -81.7289, -34.6781
23, 0.00000, -104.381, -40.6992, -83.9121, -60.2428, -77.2316, -32.7593
24, 0.00000, -95.2885, -37.1099, -76.6169, -54.9746, -70.4898, -29.8849
