hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 277.073, -0.0160574, 277.061, -120.012, 277.085, 119.988, 330.385, 158.731, 304.732, 24.3447, 247.321, -82.9753
2, 0.00000, 277.077, -0.0148377, 277.066, -120.011, 277.089, 119.989, 305.225, 158.749, 281.555, 24.3567, 228.468, -82.9668
3, 0.00000, 277.079, -0.0144366, 277.068, -120.011, 277.09, 119.989, 296.956, 158.755, 273.937, 24.3607, 222.272, -82.964
4, 0.00000, 277.081, -0.013834, 277.07, -120.01, 277.091, 119.99, 284.53, 158.764, 262.488, 24.3667, 212.962, -82.9596
5, 0.00000, 277.081, -0.0137623, 277.071, -120.01, 277.091, 119.99, 283.052, 158.765, 261.126, 24.3675, 211.855, -82.9591
6, 0.00000, 277.079, -0.0142895, 277.069, -120.01, 277.09, 119.99, 293.921, 158.757, 271.141, 24.3622, 219.999, -82.9629
7, 0.00000, 277.075, -0.0155828, 277.063, -120.011, 277.087, 119.989, 320.594, 158.738, 295.713, 24.3494, 239.984, -82.9721
8, 0.00000, 277.094, 0.00437906, 277.081, -119.991, 277.107, 120.009, 139.793, 72.299, 225.25, -58.8614, 169.795, 159.443
9, 0.00000, 277.083, -0.00101932, 277.068, -119.996, 277.098, 120.004, 157.499, 110.275, 219.752, -35.0291, 127.216, -170.222
10, 0.00000, 277.116, 0.0305042, 277.1, -119.964, 277.132, 120.036, 514.004, 18.7342, 613.487, -96.8783, 606.579, 132.95
11, 0.00000, 277.091, 0.0104888, 277.074, -119.984, 277.107, 120.016, 219.207, 50.5721, 334.53, -71.6767, 285.838, 148.759
12, 0.00000, 278.83, 0.80118, 279.112, -119.116, 279.32, 120.792, 955.495, -179.174, 955.497, 60.8259, 955.496, -59.1742
13, 0.00000, 278.836, 0.801855, 279.118, -119.116, 279.324, 120.793, 955.476, -179.174, 955.478, 60.8265, 955.477, -59.1736
14, 0.00000, 277.072, -0.00367496, 277.055, -119.997, 277.089, 120.003, 204.573, 121.592, 258.675, -25.5554, 140.902, -153.592
15, 0.00000, 277.094, 0.0159755, 277.076, -119.978, 277.112, 120.022, 293.242, 37.8552, 414.648, -80.3056, 378.356, 142.796
16, 0.00000, 277.066, -0.00806271, 277.048, -120.002, 277.084, 119.998, 255.524, 136.029, 279.207, -10.1159, 157.335, -125.323
17, 0.00000, 277.07, -0.00409666, 277.053, -119.998, 277.088, 120.002, 212.004, 122.969, 264.511, -24.2633, 143.54, -151.192
18, 0.00000, 277.05, -0.0227281, 277.033, -120.017, 277.067, 119.983, 468.153, 158.635, 431.546, 24.2807, 350.605, -83.0197
19, 0.00000, 277.052, -0.0222057, 277.035, -120.016, 277.069, 119.984, 457.354, 158.642, 421.611, 24.2856, 342.506, -83.0163
20, 0.00000, 277.054, -0.0216596, 277.038, -120.016, 277.07, 119.984, 446.066, 158.65, 411.225, 24.2908, 334.04, -83.0128
21, 0.00000, 277.057, -0.0207811, 277.041, -120.015, 277.073, 119.985, 427.912, 158.663, 394.521, 24.2992, 320.428, -83.007
22, 0.00000, 277.057, -0.0207811, 277.041, -120.015, 277.073, 119.985, 427.912, 158.663, 394.52, 24.2992, 320.428, -83.007
23, 0.00000, 277.061, -0.0196416, 277.046, -120.014, 277.076, 119.986, 404.371, 158.679, 372.854, 24.31, 302.777, -82.9995
24, 0.00000, 277.067, -0.0179324, 277.053, -120.013, 277.08, 119.987, 369.08, 158.704, 340.365, 24.3265, 276.321, -82.9881
