Hour=2, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO CHARGING BY TIME TRIGGER
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO DISCHARGING BY TIME TRIGGER
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO DISCHARGING BY TIME TRIGGER; OLD KWTARGET = 10200; NEW = 11169.3
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 472.229 KW WITH 7350 KWH REMAINING AND 1470 KWH RESERVE.
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH 66.2477 KW. FINAL KWOUT IS 66.2477 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH 65.0341 KW. FINAL KWOUT IS 65.0341 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 63.2138 KW. FINAL KWOUT IS 63.2138 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 63.8205 KW. FINAL KWOUT IS 63.8205 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH 65.6409 KW. FINAL KWOUT IS 65.6409 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 65.0341 KW. FINAL KWOUT IS 65.0341 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 64.4273 KW. FINAL KWOUT IS 64.4273 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -295.03 KW WITH 6785.81 KWH REMAINING AND 1470 KWH RESERVE.
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH 24.1006 KW. FINAL KWOUT IS 24.1006 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH 22.887 KW. FINAL KWOUT IS 22.887 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 21.0666 KW. FINAL KWOUT IS 21.0666 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 21.6734 KW. FINAL KWOUT IS 21.6734 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH 23.4938 KW. FINAL KWOUT IS 23.4938 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 22.887 KW. FINAL KWOUT IS 22.887 KW
Hour=20, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 22.2802 KW. FINAL KWOUT IS 22.2802 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH -460.793 KW WITH 6567 KWH REMAINING AND 1470 KWH RESERVE.
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH -41.7269 KW. SETTING STORAGE2.A TO IDLING STATE. FINAL KWOUT IS -1.21359 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH -42.9405 KW. SETTING STORAGE2.B TO IDLING STATE. FINAL KWOUT IS -2.42718 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH -44.7609 KW. SETTING STORAGE2.C TO IDLING STATE. FINAL KWOUT IS -4.24757 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH -44.1541 KW. SETTING STORAGE2.D TO IDLING STATE. FINAL KWOUT IS -3.64078 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH -42.3337 KW. SETTING STORAGE2.E TO IDLING STATE. FINAL KWOUT IS -1.82039 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH -42.9405 KW. SETTING STORAGE2.F TO IDLING STATE. FINAL KWOUT IS -2.42718 KW
Hour=21, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH -43.5473 KW. SETTING STORAGE2.G TO IDLING STATE. FINAL KWOUT IS -3.03398 KW
