hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2664.04, -434.174, 2701.85, -367.763, 2626.11, -570.282
2, 0.00000, 2500.64, -519.747, 2554.91, -454.631, 2496.21, -623.996
3, 0.00000, 2560.8, -536.452, 2623.46, -467.619, 2565.51, -631.372
4, 0.00000, 2673.93, -502.214, 2732.2, -431.403, 2667.28, -607.428
5, 0.00000, 2766.97, -461.079, 2817.66, -389.364, 2744.61, -580.987
6, 0.00000, 2845.02, -403.794, 2881.85, -333.311, 2798.14, -547.343
7, 0.00000, 2831.94, -380.239, 2860.65, -312.203, 2774, -534.946
8, 0.00000, 2871.72, -320.796, 2883.64, -255.023, 2786.61, -503.313
9, 0.00000, 3072.62, -206.455, 3057.17, -141.142, 2937, -440.08
10, 0.00000, 3186.15, -142.156, 3163.81, -68.1903, 3027.37, -400.473
11, 0.00000, 3225.86, -120.202, 3204.27, -39.8465, 3060.6, -385.456
12, 0.00000, 3260.19, -101.752, 3241.67, -13.2467, 3090.3, -371.755
13, 0.00000, 3206.42, -131.044, 3184.7, -53.3569, 3043.35, -393.388
14, 0.00000, 3210.06, -128.935, 3187.96, -51.2561, 3046.91, -391.736
15, 0.00000, 3233.65, -116.002, 3212.64, -33.8798, 3067.11, -382.491
16, 0.00000, 3195.66, -86.4722, 3177.11, 6.34456, 3020.61, -362.833
17, 0.00000, 3188.03, -59.4936, 3176.93, 48.4043, 3009.02, -341.171
18, 0.00000, 3338.73, 63.8611, 3365.31, 247.186, 3167.39, -221.785
19, 0.00000, 3441.21, 137.146, 3466.68, 338.253, 3287.3, -146.735
20, 0.00000, 3441.48, 108.903, 3468.85, 306.711, 3278.79, -175.947
21, 0.00000, 3541.94, 86.3729, 3571.42, 281.125, 3375.19, -195.591
22, 0.00000, 3425.3, -9.63025, 3442.71, 144.84, 3247.39, -288.777
23, 0.00000, 2938.36, -283.314, 2941.16, -217.974, 2836.75, -482.32
24, 0.00000, 2664.64, -433.669, 2701.11, -368.298, 2626.27, -570.237
