Hour=2, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO CHARGING BY TIME TRIGGER
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 969.34 KW WITH 7350 KWH REMAINING AND 1470 KWH RESERVE.
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH 100 KW. FINAL KWOUT IS 100 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH 136.05 KW. FINAL KWOUT IS 136.05 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 134.23 KW. FINAL KWOUT IS 134.23 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 134.836 KW. FINAL KWOUT IS 134.836 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH 136.657 KW. FINAL KWOUT IS 136.657 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 136.05 KW. FINAL KWOUT IS 136.05 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 135.443 KW. FINAL KWOUT IS 135.443 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 486.586 KW WITH 6263.18 KWH REMAINING AND 1470 KWH RESERVE.
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH 200 KW. FINAL KWOUT IS 200 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 203.742 KW. FINAL KWOUT IS 203.742 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 204.349 KW. FINAL KWOUT IS 204.349 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH 150 KW. FINAL KWOUT IS 150 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 200 KW. FINAL KWOUT IS 200 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 204.955 KW. FINAL KWOUT IS 204.955 KW
Hour=19, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 128.888 KW WITH 6263.18 KWH REMAINING AND 1470 KWH RESERVE.
Hour=19, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 222.154 KW. FINAL KWOUT IS 222.154 KW
Hour=19, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 222.761 KW. FINAL KWOUT IS 222.761 KW
