hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2664.04, -434.174, 2701.85, -367.763, 2626.11, -570.282
2, 0.00000, 2788.52, -449.483, 2836.67, -377.755, 2761.19, -574.006
3, 0.00000, 2678.87, -507.827, 2738.21, -437.116, 2674.4, -610.659
4, 0.00000, 2703.35, -494.995, 2761.1, -423.455, 2694.56, -602.113
5, 0.00000, 2738.8, -468.9, 2790.72, -397.839, 2719.33, -586.178
6, 0.00000, 2644.17, -457.46, 2688.11, -390.638, 2616.72, -583.043
7, 0.00000, 2710.87, -409.076, 2743.35, -342.587, 2662.96, -554.932
8, 0.00000, 2871.53, -321.015, 2884.1, -254.686, 2786.59, -503.299
9, 0.00000, 3072.64, -206.436, 3057.14, -141.165, 2937, -440.077
10, 0.00000, 3186.17, -142.138, 3163.8, -68.1992, 3027.35, -400.483
11, 0.00000, 3225.87, -120.194, 3204.28, -39.8423, 3060.58, -385.465
12, 0.00000, 3260.19, -101.75, 3241.68, -13.2404, 3090.29, -371.761
13, 0.00000, 3206.41, -131.05, 3184.69, -53.3626, 3043.36, -393.379
14, 0.00000, 3210.06, -128.932, 3187.97, -51.2561, 3046.91, -391.737
15, 0.00000, 3233.65, -115.998, 3212.65, -33.8753, 3067.1, -382.497
16, 0.00000, 3366.54, -47.0693, 3368.7, 78.9996, 3189.53, -324.079
17, 0.00000, 3463.37, 2.76105, 3484.48, 163.873, 3286.72, -275.606
18, 0.00000, 3449.1, 88.243, 3477.48, 280.06, 3282.55, -195.196
19, 0.00000, 3466.82, 142.517, 3491.87, 344.691, 3313.89, -141.301
20, 0.00000, 3446.49, 108.626, 3474.18, 305.584, 3284.61, -175.685
21, 0.00000, 3435.81, 60.2814, 3463.47, 245.634, 3264.07, -223.404
22, 0.00000, 3433.8, -8.85745, 3451.39, 145.356, 3256.13, -287.474
23, 0.00000, 2937.95, -283.592, 2940.97, -218.14, 2836.83, -482.234
24, 0.00000, 2664.64, -433.67, 2701.11, -368.296, 2626.27, -570.237
