hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2664.04, -434.174, 2701.85, -367.763, 2626.11, -570.282
2, 0.00000, 2788.52, -449.483, 2836.67, -377.755, 2761.19, -574.006
3, 0.00000, 2678.87, -507.827, 2738.21, -437.116, 2674.4, -610.659
4, 0.00000, 2452.7, -556.695, 2515.65, -491.088, 2463.53, -646.346
5, 0.00000, 2479.28, -530.865, 2536.65, -465.126, 2479.63, -630.763
6, 0.00000, 2608.81, -463.483, 2652.81, -397.178, 2582.86, -588.182
7, 0.00000, 2710.88, -409.072, 2743.32, -342.612, 2662.97, -554.921
8, 0.00000, 2871.57, -320.986, 2884.05, -254.72, 2786.6, -503.294
9, 0.00000, 3072.41, -206.647, 3057.25, -141.106, 2937.06, -440.001
10, 0.00000, 3186.2, -142.114, 3163.8, -68.2052, 3027.33, -400.498
11, 0.00000, 3225.89, -120.183, 3204.3, -39.8346, 3060.56, -385.48
12, 0.00000, 3260.19, -101.748, 3241.7, -13.2305, 3090.27, -371.771
13, 0.00000, 3206.4, -131.058, 3184.68, -53.3719, 3043.38, -393.366
14, 0.00000, 3210.07, -128.927, 3187.98, -51.2561, 3046.92, -391.739
15, 0.00000, 3233.66, -115.993, 3212.67, -33.8681, 3067.08, -382.507
16, 0.00000, 3366.54, -47.0731, 3368.73, 79.0257, 3189.5, -324.096
17, 0.00000, 3463.37, 2.75403, 3484.51, 163.907, 3286.68, -275.632
18, 0.00000, 3449.09, 88.2426, 3477.48, 280.06, 3282.55, -195.196
19, 0.00000, 3466.82, 142.517, 3491.87, 344.691, 3313.89, -141.301
20, 0.00000, 3458.14, 114.857, 3485.53, 314.606, 3298.36, -169.788
21, 0.00000, 3673.17, 119.787, 3702.49, 320.036, 3515.81, -157.143
22, 0.00000, 3447.04, -6.00938, 3466.24, 150.826, 3269.19, -284.49
23, 0.00000, 2938.82, -282.959, 2940.89, -218.167, 2836.64, -482.408
24, 0.00000, 2664.48, -433.815, 2701.11, -368.294, 2626.36, -570.155
