Hour=2, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO CHARGING BY TIME TRIGGER
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 959.626 KW WITH 7350 KWH REMAINING AND 1470 KWH RESERVE.
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH 50 KW. FINAL KWOUT IS 50 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH 100 KW. FINAL KWOUT IS 100 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 134.966 KW. FINAL KWOUT IS 134.966 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 135.269 KW. FINAL KWOUT IS 135.269 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH 75 KW. FINAL KWOUT IS 75 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 100 KW. FINAL KWOUT IS 100 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 125 KW. FINAL KWOUT IS 125 KW
Hour=18, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 207.897 KW WITH 7350 KWH REMAINING AND 1470 KWH RESERVE.
Hour=18, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 164.665 KW. FINAL KWOUT IS 164.665 KW
Hour=18, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 150 KW. FINAL KWOUT IS 150 KW
Hour=18, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 162.525 KW WITH 7350 KWH REMAINING AND 1470 KWH RESERVE.
Hour=18, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 175 KW. FINAL KWOUT IS 175 KW
Hour=18, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 151.876 KW WITH 7350 KWH REMAINING AND 1470 KWH RESERVE.
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 627.532 KW WITH 6455.39 KWH REMAINING AND 1470 KWH RESERVE.
