hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2660.43, -435.069, 2698.35, -368.736, 2622.82, -570.893
2, 0.00000, 2640.06, -486.761, 2691.98, -418.161, 2625.12, -600.297
3, 0.00000, 2531.84, -543.081, 2594.29, -475.395, 2538.51, -636.331
4, 0.00000, 2556.16, -530.598, 2616.94, -462.263, 2558.57, -627.963
5, 0.00000, 2618.73, -498.024, 2673.29, -429.238, 2608.54, -607.175
6, 0.00000, 2749.93, -428.309, 2790.29, -358.908, 2712, -563.888
7, 0.00000, 2839.2, -376.038, 2867.8, -306.967, 2779.62, -532.705
8, 0.00000, 3002.06, -284.996, 3009.48, -216.199, 2903.32, -480.465
9, 0.00000, 3140.45, -187.694, 3123.86, -119.898, 2998.78, -427.164
10, 0.00000, 3200.21, -139.864, 3178.35, -65.2111, 3041.09, -398.183
11, 0.00000, 3222.37, -121.142, 3200.66, -41.0996, 3057.3, -386.178
12, 0.00000, 3256.76, -102.613, 3237.95, -14.6293, 3087.04, -372.472
13, 0.00000, 3202.92, -131.961, 3181.06, -54.6645, 3040.03, -394.113
14, 0.00000, 3206.52, -129.873, 3184.28, -52.5714, 3043.61, -392.438
15, 0.00000, 3230.15, -116.915, 3208.95, -35.226, 3063.85, -383.193
16, 0.00000, 3363.24, -47.8188, 3364.9, 77.4916, 3186.32, -324.818
17, 0.00000, 3460.15, 1.93506, 3481.15, 162.798, 3283.28, -276.512
18, 0.00000, 3495.2, 101.667, 3523.86, 297.547, 3332.81, -180.29
19, 0.00000, 3648.8, 191.104, 3668.35, 398.102, 3510.38, -87.3456
20, 0.00000, 3556.97, 137.09, 3583.31, 339.013, 3403.66, -143.543
21, 0.00000, 3449.08, 62.571, 3477.25, 247.925, 3278.5, -219.839
22, 0.00000, 3427.48, -10.1808, 3444.96, 143.44, 3249.75, -288.7
23, 0.00000, 2934.17, -284.678, 2937.4, -219.276, 2833.56, -482.852
24, 0.00000, 2661.03, -434.57, 2697.62, -369.266, 2622.98, -570.847
