Hour=2, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO CHARGING BY TIME TRIGGER
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 253.438 KW WITH 7350 KWH REMAINING AND 1470 KWH RESERVE.
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH 34.9918 KW. FINAL KWOUT IS 34.9918 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH 33.7782 KW. FINAL KWOUT IS 33.7782 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 31.9578 KW. FINAL KWOUT IS 31.9578 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 32.5646 KW. FINAL KWOUT IS 32.5646 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.E TO DISPATCH 34.385 KW. FINAL KWOUT IS 34.385 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 33.7782 KW. FINAL KWOUT IS 33.7782 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 33.1714 KW. FINAL KWOUT IS 33.1714 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 910.801 KW WITH 7040.27 KWH REMAINING AND 1470 KWH RESERVE.
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.A TO DISPATCH 100 KW. FINAL KWOUT IS 100 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.B TO DISPATCH 163.893 KW. FINAL KWOUT IS 163.893 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.C TO DISPATCH 162.072 KW. FINAL KWOUT IS 162.072 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.D TO DISPATCH 162.679 KW. FINAL KWOUT IS 162.679 KW
