hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2817.18, -393.372, 2849.67, -324.115, 2764.96, -542.998
2, 0.00000, 2797.65, -444.644, 2844.85, -372.88, 2768.79, -571.009
3, 0.00000, 2772.04, -482.528, 2829.52, -409.363, 2760.09, -592.258
4, 0.00000, 2797.31, -468.998, 2852.26, -395.527, 2780.15, -583.707
5, 0.00000, 2804.5, -450.407, 2854.06, -378.514, 2778.96, -573.225
6, 0.00000, 2798.71, -415.415, 2836.66, -346.142, 2756.09, -555.121
7, 0.00000, 2819.79, -381.455, 2848.55, -313.298, 2761.83, -536.303
8, 0.00000, 2872.14, -320.501, 2883.71, -254.946, 2786.52, -503.406
9, 0.00000, 3072.62, -206.454, 3057.17, -141.144, 2937, -440.079
10, 0.00000, 3186.15, -142.156, 3163.81, -68.1903, 3027.37, -400.473
11, 0.00000, 3225.86, -120.202, 3204.27, -39.8465, 3060.6, -385.456
12, 0.00000, 3260.19, -101.752, 3241.67, -13.2467, 3090.3, -371.755
13, 0.00000, 3206.42, -131.044, 3184.7, -53.3569, 3043.35, -393.388
14, 0.00000, 3210.06, -128.935, 3187.96, -51.2561, 3046.91, -391.736
15, 0.00000, 3233.65, -116.002, 3212.64, -33.8798, 3067.11, -382.491
16, 0.00000, 3366.54, -47.067, 3368.68, 78.9821, 3189.55, -324.067
17, 0.00000, 3376.14, -18.4926, 3388.91, 127.658, 3196.82, -298.633
18, 0.00000, 3397.63, 76.0498, 3425.33, 263.862, 3228.31, -208.678
19, 0.00000, 3403.61, 127.085, 3429.75, 326.326, 3246.57, -157.842
20, 0.00000, 3373.47, 91.0713, 3401.1, 283.027, 3207.27, -194.665
21, 0.00000, 3639.86, 108.206, 3669.48, 306.181, 3478.32, -169.69
22, 0.00000, 3447.04, -6.00067, 3466.19, 150.783, 3269.23, -284.47
23, 0.00000, 2938.73, -283.03, 2940.97, -218.098, 2836.64, -482.408
24, 0.00000, 2817.95, -393.163, 2850.41, -323.891, 2765.66, -542.853
