hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2664.04, -434.174, 2701.85, -367.763, 2626.11, -570.282
2, 0.00000, 2788.52, -449.483, 2836.67, -377.755, 2761.19, -574.006
3, 0.00000, 2678.87, -507.827, 2738.21, -437.116, 2674.4, -610.659
4, 0.00000, 2703.35, -494.995, 2761.1, -423.455, 2694.56, -602.113
5, 0.00000, 2738.8, -468.9, 2790.72, -397.839, 2719.33, -586.178
6, 0.00000, 2644.17, -457.46, 2688.11, -390.638, 2616.72, -583.043
7, 0.00000, 2710.87, -409.076, 2743.35, -342.587, 2662.96, -554.932
8, 0.00000, 2871.53, -321.015, 2884.1, -254.686, 2786.59, -503.299
9, 0.00000, 3072.64, -206.436, 3057.14, -141.165, 2937, -440.077
10, 0.00000, 3186.17, -142.138, 3163.8, -68.1992, 3027.35, -400.483
11, 0.00000, 3225.87, -120.194, 3204.28, -39.8423, 3060.58, -385.465
12, 0.00000, 3260.19, -101.75, 3241.68, -13.2404, 3090.29, -371.761
13, 0.00000, 3206.41, -131.05, 3184.69, -53.3626, 3043.36, -393.379
14, 0.00000, 3203.44, -130.629, 3181.35, -53.179, 3040.04, -393.364
15, 0.00000, 3032.47, -169.308, 3006.19, -105.717, 2879.86, -421.603
16, 0.00000, 2987.69, -137.461, 2956.07, -71.8753, 2823.32, -403.361
17, 0.00000, 2910.17, -123.332, 2874.71, -58.9985, 2740.77, -395.656
18, 0.00000, 3234.35, 40.2309, 3256.63, 211.686, 3058.02, -247.74
19, 0.00000, 3538.84, 171.379, 3559.91, 379.59, 3394.76, -111.956
20, 0.00000, 3754.62, 196.508, 3774.26, 405.069, 3618.59, -79.5045
21, 0.00000, 3673.15, 119.823, 3702.52, 319.935, 3516.4, -156.766
22, 0.00000, 3447.04, -5.95825, 3466.02, 150.61, 3269.35, -284.399
23, 0.00000, 2938.43, -283.263, 2941.07, -218.043, 2836.78, -482.307
24, 0.00000, 2664.48, -433.815, 2701.11, -368.293, 2626.36, -570.155
