Hour=2, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=FLEET SET TO CHARGING BY TIME TRIGGER
Hour=16, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 614.385 KW WITH 12000 KWH REMAINING AND 2400 KWH RESERVE.
Hour=16, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 288.989 KW. FINAL KWOUT IS 288.989 KW
Hour=16, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 301.125 KW. FINAL KWOUT IS 301.125 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 448.739 KW WITH 11268 KWH REMAINING AND 2400 KWH RESERVE.
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 513.358 KW. FINAL KWOUT IS 513.358 KW
Hour=17, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.G TO DISPATCH 500 KW. FINAL KWOUT IS 500 KW
Hour=17, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 24.8023 KW WITH 11268 KWH REMAINING AND 2400 KWH RESERVE.
Hour=17, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 525.759 KW. FINAL KWOUT IS 525.759 KW
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 448.043 KW WITH 10043.8 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 749.781 KW. FINAL KWOUT IS 749.781 KW
Hour=18, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 223.774 KW WITH 10043.8 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=2, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 861.668 KW. FINAL KWOUT IS 861.668 KW
Hour=18, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 112.095 KW WITH 10043.8 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=3, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 917.715 KW. FINAL KWOUT IS 917.715 KW
Hour=18, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 56.2639 KW WITH 10043.8 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=4, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 945.847 KW. FINAL KWOUT IS 945.847 KW
Hour=18, Sec=0, ControlIter=5, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 28.2392 KW WITH 10043.8 KWH REMAINING AND 2400 KWH RESERVE.
Hour=18, Sec=0, ControlIter=5, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 959.967 KW. FINAL KWOUT IS 959.967 KW
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=ATTEMPTING TO DISPATCH 280.014 KW WITH 8325.26 KWH REMAINING AND 2400 KWH RESERVE.
Hour=19, Sec=0, ControlIter=1, Element=StorageController2.sc, Action=REQUESTING STORAGE2.F TO DISPATCH 1099.97 KW. FINAL KWOUT IS 1099.97 KW
