hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 657.075, -1771.04, 679.352, -1743.93, 760.141, -1828.95
2, 0.00000, 1137.21, -1629.16, 1173.46, -1597.23, 1241.01, -1675.84
3, 0.00000, 1042.81, -1670.33, 1087.61, -1637.8, 1159.47, -1704.31
4, 0.00000, 1016.29, -1691.56, 1059.37, -1659.44, 1132.56, -1727.22
5, 0.00000, 998.91, -1713.34, 1036.98, -1682.28, 1111.49, -1754.54
6, 0.00000, 407.899, -2098.04, 441.558, -2069.93, 536.505, -2139.54
7, 0.00000, 309.678, -2033.46, 332.614, -2007.68, 427.28, -2086.7
8, 0.00000, 390.715, -1963.63, 396.916, -1940.66, 490.737, -2035.9
9, 0.00000, 717.807, -1793.26, 703.454, -1772.01, 785.953, -1896.55
10, 0.00000, 983.931, -1644.44, 955.514, -1623.86, 1023.54, -1772.88
11, 0.00000, 1093.49, -1581.37, 1060.58, -1560.49, 1120.42, -1720.74
12, 0.00000, 1152.24, -1549.41, 1115.05, -1528.77, 1170.16, -1697.31
13, 0.00000, 955.726, -1664.94, 924.756, -1645.43, 995.022, -1795.34
14, 0.00000, 983.025, -1648.5, 951.69, -1628.61, 1020.08, -1780.45
15, 0.00000, 630.648, -1869.28, 600.353, -1851.34, 689.953, -1990.1
16, 0.00000, 2057.89, -853.445, 2010.92, -817.899, 1952, -1091.68
17, 0.00000, 2173.08, -706.638, 2102.64, -675.036, 2020.63, -988.933
18, 0.00000, 2476.43, -471.821, 2412.07, -379.15, 2247.59, -833.056
19, 0.00000, 2599.98, -371.459, 2580.55, -201.479, 2368.65, -736.434
20, 0.00000, 2523.67, -442.118, 2476.69, -319.931, 2291.27, -807.016
21, 0.00000, 2395.54, -560.982, 2306.85, -510.07, 2175.84, -912.881
22, 0.00000, 2141.61, -795.953, 2078.59, -762.795, 2003.98, -1064.81
23, 0.00000, 841.588, -1698.32, 837.803, -1674.75, 912.756, -1790.85
24, 0.00000, 148.739, -2076.11, 177.322, -2049.37, 272.623, -2123.38
