hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.202265, 9.98176E-018, 0.202265, 0, 0.202265, -2.84217E-017, 0, 0
2, 0.00000, 16.6668, 0.000404221, 16.6668, 0.000404221, 16.6668, 0.000404221, 0, 0
3, 0.00000, 16.6667, 5.92527E-014, 16.6667, 6.00266E-014, 16.6667, 6.00266E-014, 0, 0
4, 0.00000, 16.6667, 5.55112E-020, 16.6667, 9.09495E-016, 16.6667, 0, 0, 0
5, 0.00000, 8.33333, 1.22563E-009, 8.33333, 1.22563E-009, 8.33333, 1.22563E-009, 0, 0
6, 0.00000, 8.33333, 0, 8.33333, 0, 8.33333, 4.54747E-016, 0, 0
7, 0.00000, 0.202264, -4.90557E-006, 0.202264, -4.90557E-006, 0.202264, -4.90557E-006, 0, 0
8, 0.00000, 0.202265, -1.99745E-017, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
9, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
10, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
11, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
12, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
13, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
14, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
15, 0.00000, -8.33328, 0.000202115, -8.33328, 0.000202115, -8.33328, 0.000202115, 0, 0
16, 0.00000, -12.5, 9.18926E-010, -12.5, 9.18928E-010, -12.5, 9.18925E-010, 0, 0
17, 0.00000, -16.6667, 1.2254E-009, -16.6667, 1.2254E-009, -16.6667, 1.2254E-009, 0, 0
18, 0.00000, -16.6667, -5.55112E-020, -16.6667, 0, -16.6667, 9.09495E-016, 0, 0
19, 0.00000, -16.6667, -5.55112E-020, -16.6667, 0, -16.6667, 9.09495E-016, 0, 0
20, 0.00000, -16.6667, -5.55112E-020, -16.6667, 0, -16.6667, 9.09495E-016, 0, 0
21, 0.00000, -12.5, -9.19024E-010, -12.5, -9.19024E-010, -12.5, -9.19023E-010, 0, 0
22, 0.00000, 0.202265, 2.9618E-017, 0.202265, -1.42109E-017, 0.202265, -1.42109E-017, 0, 0
23, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
24, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
