hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.202265, 9.98176E-018, 0.202265, 0, 0.202265, -2.84217E-017, 0, 0
2, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
3, 0.00000, 13.3333, -3.08981E-009, 13.3333, -3.08981E-009, 13.3333, -3.08981E-009, 0, 0
4, 0.00000, 13.3333, 5.55112E-020, 13.3333, -9.09495E-016, 13.3333, 9.09495E-016, 0, 0
5, 0.00000, 13.3333, 5.55112E-020, 13.3333, -9.09495E-016, 13.3333, 9.09495E-016, 0, 0
6, 0.00000, 13.3333, 5.55112E-020, 13.3333, -9.09495E-016, 13.3333, 9.09495E-016, 0, 0
7, 0.00000, 13.3333, 5.55112E-020, 13.3333, -9.09495E-016, 13.3333, 9.09495E-016, 0, 0
8, 0.00000, 0.202265, 3.55361E-019, 0.202265, 0, 0.202265, 1.42109E-017, 0, 0
9, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
10, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
11, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
12, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
13, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
14, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
15, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
16, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
17, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
18, 0.00000, -8.33333, 1.25516E-009, -8.33333, 1.25516E-009, -8.33333, 1.25516E-009, 0, 0
19, 0.00000, -8.33333, 0, -8.33333, -4.54747E-016, -8.33333, -4.54747E-016, 0, 0
20, 0.00000, -8.33333, 0, -8.33333, -4.54747E-016, -8.33333, -4.54747E-016, 0, 0
21, 0.00000, -8.33333, 0, -8.33333, -4.54747E-016, -8.33333, -4.54747E-016, 0, 0
22, 0.00000, -8.33333, 0, -8.33333, -4.54747E-016, -8.33333, -4.54747E-016, 0, 0
23, 0.00000, 0.202265, -1.02182E-017, 0.202265, 0, 0.202265, 0, 0, 0
24, 0.00000, 0.202265, 6.77626E-024, 0.202265, -1.42109E-017, 0.202265, 1.42109E-017, 0, 0
