hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.202265, -0.0979616, 0.202265, -0.0979616, 0.202265, -0.0979616, 0, 0
2, 0.00000, 0.16667, -0.0807168, 0.16667, -0.0807168, 0.16667, -0.0807168, 0, 0
3, 0.00000, 1.33333, -0.645763, 1.33333, -0.645763, 1.33333, -0.645763, 0, 0
4, 0.00000, 2, -0.968644, 2, -0.968644, 2, -0.968644, 0, 0
5, 0.00000, 2.66667, -1.29153, 2.66667, -1.29153, 2.66667, -1.29153, 0, 0
6, 0.00000, 5, -2.42161, 5, -2.42161, 5, -2.42161, 0, 0
7, 0.00000, 8.33333, -4.03602, 8.33333, -4.03602, 8.33333, -4.03602, 0, 0
8, 0.00000, 14.6667, -7.10339, 14.6667, -7.10339, 14.6667, -7.10339, 0, 0
9, 0.00000, 0.202262, -0.0979659, 0.202262, -0.0979659, 0.202262, -0.0979659, 0, 0
10, 0.00000, 0.202265, -0.0979616, 0.202265, -0.0979616, 0.202265, -0.0979616, 0, 0
11, 0.00000, 0.202265, -0.0979616, 0.202265, -0.0979616, 0.202265, -0.0979616, 0, 0
12, 0.00000, 0.202265, -0.0979616, 0.202265, -0.0979616, 0.202265, -0.0979616, 0, 0
13, 0.00000, 0.202265, -0.0979616, 0.202265, -0.0979616, 0.202265, -0.0979616, 0, 0
14, 0.00000, 0.202265, -0.0979616, 0.202265, -0.0979616, 0.202265, -0.0979616, 0, 0
15, 0.00000, 0.202265, -0.0979616, 0.202265, -0.0979616, 0.202265, -0.0979616, 0, 0
16, 0.00000, -0.166664, 0.0807239, -0.166664, 0.0807239, -0.166664, 0.0807239, 0, 0
17, 0.00000, -1.33333, 0.645763, -1.33333, 0.645763, -1.33333, 0.645763, 0, 0
18, 0.00000, -2, 0.968644, -2, 0.968644, -2, 0.968644, 0, 0
19, 0.00000, -2.66667, 1.29153, -2.66667, 1.29153, -2.66667, 1.29153, 0, 0
20, 0.00000, -5, 2.42161, -5, 2.42161, -5, 2.42161, 0, 0
21, 0.00000, -8.33333, 4.03602, -8.33333, 4.03602, -8.33333, 4.03602, 0, 0
22, 0.00000, -14.6667, 7.10339, -14.6667, 7.10339, -14.6667, 7.10339, 0, 0
23, 0.00000, 0.202269, -0.0979573, 0.202269, -0.0979573, 0.202269, -0.0979573, 0, 0
24, 0.00000, 0.202265, -0.0979616, 0.202265, -0.0979616, 0.202265, -0.0979616, 0, 0
