hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.202265, -6.66667, 0.202265, -6.66667, 0.202265, -6.66667, 0, 0
2, 0.00000, 0.166829, -6.6667, 0.166829, -6.6667, 0.166829, -6.6667, 0, 0
3, 0.00000, 1.33333, -6.66667, 1.33333, -6.66667, 1.33333, -6.66667, 0, 0
4, 0.00000, 2, -6.66667, 2, -6.66667, 2, -6.66667, 0, 0
5, 0.00000, 2.66667, -6.66667, 2.66667, -6.66667, 2.66667, -6.66667, 0, 0
6, 0.00000, 5, -6.66667, 5, -6.66667, 5, -6.66667, 0, 0
7, 0.00000, 8.33333, -6.66667, 8.33333, -6.66667, 8.33333, -6.66667, 0, 0
8, 0.00000, 14.6667, -6.66667, 14.6667, -6.66667, 14.6667, -6.66667, 0, 0
9, 0.00000, 0.202102, -6.66663, 0.202102, -6.66663, 0.202102, -6.66663, 0, 0
10, 0.00000, 0.202265, -6.66667, 0.202265, -6.66667, 0.202265, -6.66667, 0, 0
11, 0.00000, 0.202265, -6.66667, 0.202265, -6.66667, 0.202265, -6.66667, 0, 0
12, 0.00000, 0.202265, -6.66667, 0.202265, -6.66667, 0.202265, -6.66667, 0, 0
13, 0.00000, 0.202265, -6.66667, 0.202265, -6.66667, 0.202265, -6.66667, 0, 0
14, 0.00000, 0.202265, -6.66667, 0.202265, -6.66667, 0.202265, -6.66667, 0, 0
15, 0.00000, 0.202265, -6.66667, 0.202265, -6.66667, 0.202265, -6.66667, 0, 0
16, 0.00000, -0.166827, -6.66662, -0.166827, -6.66662, -0.166827, -6.66662, 0, 0
17, 0.00000, -1.33333, -6.66667, -1.33333, -6.66667, -1.33333, -6.66667, 0, 0
18, 0.00000, -2, -6.66667, -2, -6.66667, -2, -6.66667, 0, 0
19, 0.00000, -2.66667, -6.66667, -2.66667, -6.66667, -2.66667, -6.66667, 0, 0
20, 0.00000, -5, -6.66667, -5, -6.66667, -5, -6.66667, 0, 0
21, 0.00000, -8.33333, -6.66667, -8.33333, -6.66667, -8.33333, -6.66667, 0, 0
22, 0.00000, -14.6667, -6.66667, -14.6667, -6.66667, -14.6667, -6.66667, 0, 0
23, 0.00000, 0.202428, -6.6667, 0.202428, -6.6667, 0.202428, -6.6667, 0, 0
24, 0.00000, 0.202265, -6.66667, 0.202265, -6.66667, 0.202265, -6.66667, 0, 0
